"","","","","Government","","",""
"","","","Rs.","Rs.","Rs.","Rs.",""
"","9 7","Department  of  Debt  Conciliation","","","","",""
"","","Board
23101 Advances  to  Public  Officers","1,500,000","400,000","4,000,000","—",""
"","9 8","Department  of  Prisons","23201 Advances  to  Public  Officers 180,000,000 135,000,000 400,000,000","","","—",""
"","9 9","Department  of  Prisons
23202 Prisons  Industrial  and","","","","",""
"","","","","","","",""
"5","","Agricultural  Undertakings","100,000,000","120,000,000","65,000,000","12,000,000","Appropriation  (Amendment)"
"","100","Department  of  Government","","","","",""
"","","Analyst
23301 Advances  to  Public  Officers","9,000,000","5,500,000","32,000,000","—",""
"","101","Registrar  of  the  Supreme  Court
23401 Advances  to  Public  Officers","17,000,000","10,000,000","45,000,000","—",""
"","102","Department  of  Law  Commission
23501 Advances  to  Public  Officers","1,300,000","400,000","3,600,000","—",""
"10","103","Department  of  Official  Languages 23601 Advances  to  Public  Officers","7,500,000","4,000,000","27,000,000","—",""
"","104","Department  of  National  Planning
23701 Advances  to  Public  Officers","5,000,000","3,400,000","30,000,000","—",""
"","105","Department  of  Fiscal  Policy
23801 Advances  to  Public  Officers","4,000,000","1,700,000","15,000,000","—",""
"","106","Department  of  External  Resources 23901 Advances  to  Public  Officers","7,500,000","3,700,000","30,000,000","—",""
"","107","Department  of  National  Budget
24001 Advances  to  Public  Officers","11,000,000","5,300,000","35,000,000","—",""
"","108","Department  of  Public","","","","",""
"15","","","","","","",""
"","","Enterprises
24101 Advances  to  Public  Officers","4,400,000","2,500,000","18,000,000","—",""
