"","4 4","Minister  of  Hill  Country  New","","","","",""
"","","Villages,  Infrastructure  and","","","","",""
"","","Community    Development","14001 Advances  to  Public  Officers","15,000,000","6,500,000","40,000,000","—"
"","4 5","Minister  of  Resettlement,","","","","",""
"","","Rehabilitation,  Northern","","","","",""
"5","","","","","","",""
"","","Development  and","","","","",""
"","","Hindu  Religious  Affairs","14501 Advances  to  Public  Officers","10,000,000","4,000,000","37,000,000","—"
"","46","Minister  of  Youth  Affairs,","","","","",""
"","","Project  Management  and","","","","",""
"10","","Southern  Development","14801 Advances  to  Public  Officers","3,500,000","500,000","7,500,000","—"
"","4 7","Minister  of  Industry  and","","","","",""
"","","Commerce","14901 Advances  to  Public  Officers","35,000,000","14,000,000 105,000,000","","—"
"","4 8","Minister  of  Petroleum  Resources","","","","",""
"","","Development","15001 Advances  to  Public  Officers","5,500,000","2,500,000","17,000,000","—"
"","4 9","Minister  of  Fisheries,  Aquatic","","","","",""
"15","","","","","","",""
"","","Resources  Development  and","","","","",""
"","","Rural  Economic  Affairs","15101 Advances  to  Public  Officers","39,000,000","19,000,000   110,000,000","","—"
"","5 0","Minister  of  Provincial  Councils","","","","",""
"","","Local  Government  and  Sports","15501 Advances  to  Public  Officers","29,500,000","11,000,000","68,000,000","—"
"20","5 1","Minister  of  National  Intergration,","","","","",""
"","","Reconciliation  and","","","","",""
"","","Offcial  Languages","15701 Advances  to  Public  Officers","18,000,000","7,000,000","60,000,000","—"
