"","","","Ministry  of  Lands  and  Parliamentary  Reforms","","",""
"","","","Recurrent","5,897,252,000","",""
"","","","Capital","3,213,200,000","",""
"","","Made  up  as  follows:-","","","",""
"5","Head","122","Minister  of    Lands  and  Parliamentary  Reforms","","",""
"","","","Programme  01
Operational  Activities","","1,114,010,000","88,650,000"
"","","","Programme  02
Development  Activities","","—","2,635,550,000"
"","Head","286","Department  of  Land  Commissioner  General","","",""
"","","","Programme  02  -  Development  Activities","","353,340,000","67,100,000"
"10","Head","287","Department  of  Land  Title    Settlement","","",""
"","","","Programme  02
Development  Activities","","380,835,000","4,582,000"
"","Head","288","Department  of  Surveyor  General","","",""
"","","","Programme  01
Operational  Activities","","250,120,000","185,790,000"
"","","","Programme  02
Development  Activities","","3,423,145,000","186,528,000"
"15","Head","327","Department  of  Land  Use  Policy  Planning","","",""
"","","","Programme  02
Development  Activities","","375,802,000","45,000,000"
