"","162","Department  of  Coast  Conservation","","","","",""
"","","and  Coastal  Resource  Management","29101 Advances  to  Public  Officers","14,000,000","9,500,000","42,000,000","—"
"","163","Deparatment  of  Animal","","","","",""
"","","Production  and  Health","29201 Advances  to  Public  Officers","39,000,000","23,000,000 120,000,000","","—"
"","164","Department  of  Rubber","","","","",""
"5","","","","","","",""
"","","Development","29301 Advances  to  Public  Officers","21,000,000","15,000,000","56,000,000","—"
"","165","Department  of  National","","","","",""
"","","Zoological  Gardens","29401 Advances  to  Public  Officers","38,000,000","15,000,000","90,000,000","—"
"","166","Department  of  Commerce","29501 Advances  to  Public  Officers","6,500,000","3,000,000","20,000,000","—"
"10","167","Department  of  Import  and","","","","",""
"","","Export  Control","29601 Advances  to  Public  Officers","5,000,000","2,400,000","20,000,000","—"
"","168","Department  of  the  Registrar  of","","","","",""
"","","Companies","29701 Advances  to  Public  Officers","8,000,000","3,400,000","20,000,000","—"
"","169","Department  of  Measurement","","","","",""
"","","Units,  Standards  and  Services","29801 Advances  to  Public  Officers","8,000,000","4,000,000","30,000,000","—"
"15","","","","","","",""
"","170","National  Intellectual  Property","","","","",""
"","","Office  of  Sri  Lanka","29901 Advances  to  Public  Officers","5,500,000","1,800,000","15,000,000","—"
"","171","Department  of  Food","","","","",""
"","","Commissioner","30001 Advances  to  Public  Officers","8,000,000","3,600,000","42,000,000","—"
"20","172","Department  of  Co-operative","","","","",""
"","","Development  (Registrar  of","","","","",""
"","","Co-operative  Societies)","30101 Advances  to  Public  Officers","7,500,000","2,500,000","25,000,000","—"
