"","Made  up  as  follows  :-","","","",""
"10","Head 438","","State  Minister  of  Co-operative  Services,  Marketing  Development  and","",""
"","","Consumer  Protection","","",""
"","","Programme  01","Operational  Activities","35,180,000","2,060,000"
"","","Programme  02","Development  Activities","514,000,000","9,500,000"
"","Head 301","","Department  of  Co-operative  Development  (Registrar  of  Co-operative  Societies)","",""
"15","","Programme  01","Operational  Activities","81,250,000","6,310,000"
"","Head 302","Co-operative  Employees  Commission","","",""
"","","Programme  01","Operational  Activities","18,370,000","630,000"
"","","Ministry  of    Highways","","",""
"","","Recurrent","190,572,000","",""
"20","","Capital","244,826,852,000","",""
"","Made  up  as  follows  :-","","","",""
"","Head 117","Minister of  Highways","","",""
"","","Programme  01","Operational  Activities","190,572,000","2,935,000"
"","","Programme  02","Development  Activities","-","244,823,917,000"
