"","","State  Ministry  of    Aviation  and  Export  Zones  Development","",""
"","","Recurrent
    59,377,000","",""
"","","Capital
227,287,000","",""
"","Made  up  as  follows  :-","","",""
"5","Head 437","State  Minister  of    Aviation  and  Export  Zones  Development","",""
"","","Programme  01
Operational  Activities","59,377,000","2,287,000"
"","","Programme  02
Development  Activities","-","225,000,000"
"","","Ministry  of  Environment","",""
"","","Recurrent
961,350,000","",""
"10","","Capital
320,120,000","",""
"","Made  up  as  follows  :-","","",""
"","Head 160","Minister of Environment","",""
"","","Programme  01
Operational  Activities","290,850,000","9,780,000"
"","","Programme  02
Development  Activities","670,500,000","310,340,000"
"15","","Ministry  of  Wildlife  and  Forest  Conservation","",""
"","","Recurrent
      100,113,000","",""
"","","Capital
1,356,152,000","",""
"","Made  up  as  follows  :-","","",""
"","Head 161","Minister  of  Wildlife  and  Forest  Conservation","",""
"20","","Programme  01
Operational  Activities","100,113,000","41,014,000"
"","","Programme  02
Development  Activities","","-                1,315,138,000"
