"","Head","","Recurrent","","Capital"
"","No.","","Expenditure","","Expenditure"
"","","","Rs.","","Rs."
"","Head 290","Department  of  Fisheries  and  Aquatic  Resources","","",""
"","","Programme  01
Operational  Activities","756,400,000","","98,000,000"
"","","State  Ministry  of  Ornamental  Fish,","","",""
"","","Inland  Fish  and  Prawn  Farming,  Fishery  Harbour  Development,","","",""
"5","","Multiday  Fishing  Activities  and  Fish  Exports","","",""
"","","Recurrent
1,306,800,000","","",""
"","","Capital
2,928,100,000","","",""
"","Made  up  as  follows  :-","","","",""
"","Head 405","State  Minister  of  Ornamental  Fish,","","",""
"10","","Inland  Fish  ansd  Prawn  Farming,  Fishery  Harbour  Development,","","",""
"","","Multiday  Fishing  Activities  and  Fish  Exports","","",""
"","","Programme  01
Operational  Activities","32,800,000","","4,300,000"
"","","Programme  02
Development  Activities","1,274,000,000","","2,923,800,000"
"","","Ministry  of  Tourism","","",""
"15","","Recurrent
  643,131,000","","",""
"","","Capital
403,875,000","","",""
"","Made  up  as  follows  :-","","","",""
"","Head 159","Minister  of  Tourism","","",""
"","","Programme  01
Operational  Activities","144,454,000","","2,998,000"
"20","","Programme  02
Development  Activities","","-","216,915,000"
"","Head 322","Department  of  National  Botanical  Gardens","","",""
"","","Programme  02
Development  Activities","498,677,000","","183,962,000"
