"","207","Department  of  National  Physical","","","","",""
"","","Planning","31101 Advances  to  Public  Officers","12,000,000","4,700,000","50,000,000","—"
"","208","Department  of  Civil  Security","32001 Advances  to  Public  Officers","232,000,000","93,600,000","1,000,000,000","—"
"","209","Department  of  National  Botanical","","","","",""
"5","","Gardens","32201 Advances  to  Public  Officers","","26,000,000     12,400,000   100,000,000","","—"
"","210","Department  of  Legal  Affairs","32301 Advances  to  Public  Officers","1,000,000","300,000","3,000,000","—"
"","211","Department  of  Management","","","","",""
"","","Auditing","32401 Advances  to  Public  Officers","4,500,000","1,800,000","11,000,000","—"
"","212","Department  of  Community  Based","","","","",""
"10","","Corrections","32601 Advances  to  Public  Officers","20,000,000","5,100,000","60,000,000","—"
"","213","Department  of  Land  Use  Policy","","","","",""
"","","Planning","32701 Advances  to  Public  Officers","","18,000,000     10,000,000     80,000,000","","—"
"","214","Department  of  Manpower  and","","","","",""
"","","Employment","32801 Advances  to  Public  Officers     10,000,000","","9,900,000   100,000,000","","—"
"15","215","Department  of  Information","","","","",""
"","","Technology  Management","32901 Advances  to  Public  Officers","3,000,000","1,100,000","8,000,000","—"
"","216","Department  of  Samurdhi","","","","",""
"","","Development","","33101 Advances  to  Public  Officers     65,000,000     47,300,000   350,000,000","","","—"
"","217","Department  of  National  Community","","","","",""
"20","","Water  Supply","33201 Advances  to  Public  Officers","11,000,000","2,800,000     35,000,000","","—"
"","218","Office  of  Comptroller  General","33301 Advances  to  Public  Officers","2,000,000","1,000,000","10,000,000","—"
"","219","Department  of  Multi  -  purpose","","","","",""
"","","Development  Task  Force","33401 Advances  to  Public  Officers","3,600,000","100,000","30,000,000","—"
"","220","National  Education  Commission","33501 Advances  to  Public  Officers","1,500,000","400,000","7,500,000","—"
