"","","Companies (Amendment)","","27"
"No.","Column  I","Column  II","Column  III",""
"","Sections","","",""
"","Amended","Repeal","Insert",""
"8 0","514(1)","“credited  to  the","“credited  to  the",""
"","","Fund  estabilshed","Fund  established",""
"","","under  this  Act.”,","under  this  Act.”.",""
"8 1","519(3)(c)","“a  pertnership","“a  partnership",""
"","","formed  for  the","formed  for  the",""
"","","purpose”,","purpose”.",""
"8 2","First  Schedule","“less  that  ten","“less  than    ten",""
"","17(3)","per  centum”,","per  centum”;",""
"8 3","First  Schedule","“less  that  ten","“less  than    ten",""
"","17(4)","per  centum”,","per  centum”;",""
"","First  Schedule","“board  may  form","“board  may  from",""
"8 4","31(1)","time  to  time”","time  to  time”.",""
"8 5","Fourth","“each  provious","“each  previous",""
"","Schedule","allotment”,","allotment”;",""
"","Part  I  7","","",""
"8 6","Fourth","“those  shates  or","“those  shares  or",""
"","Schedule","debentures”,","debentures”;",""
"","Part  I  9","","",""
"8 7","Fourth","“combine  assest","“combine  assets",""
"","Schedule","and  liabilities”,","and  liabilities”;",""
"","Part  II","","",""
"","20(3)(b)(i)","","",""
"8 8","Fourth","“assets  and","“assets  and",""
"","Schedule","liabilites”","liabilities”;",""
"","Part  II","","",""
"","20(3)(b)(ii)","","",""
"8 9","Fourth","“shares  or","“shares  and",""
"","Schedule","debentrures”","debentures”;",""
"","Part  II","","",""
"","22  (1)(a)","","",""
