"22","Motor Traffic (Amendment)"
"","Act, No. 18 of 2017"
"21. Section  159","-
Prohibition  to  distribute"
"","advertisements from a"
"","vehicle in motion"
"22.
Section  160","-
Prohibit excessive use of"
"","noise from a vehicle"
"23.
Section  162","-
Failure to obey directions"
"","and signals of police"
"","officers &c."
"24.
Section  164","- Non-compliance with"
"","traffic  signs"
"25.
Section  165","-
Failure to take precautions"
"","when discharging fuel"
"","into the tank"
"26.
Section  166","- Not to halt or park a motor"
"","vehicle on a road"
"27.
Section  167","-
Precautions to be taken"
"","when motor vehicle is"
"","halted or left unattended or"
"","disabled on a road"
"28.
Section  178","- Carriage of persons in"
"","excess of authorized"
"","number in private coaches"
"","and of goods other  than"
"","personal luggage in motor"
"","cars or private coaches"
"29.
Section  179","- Carriage of persons or"
"","passengers in excess of"
"","authorized  number, and of"
"","goods other  than personal"
"","luggage in omnibuses"
