"N,m-Prupri�tary•","Pmpri�tary","Clt�miral Nan,�"
"Nam�","or Tri,·iul",""
"","Numes",""
"","GHB","y-hydroxybutyric :icid"
":?7  HALAZEPAM","","7<hloro-I .3-dihydro-S-phenyl-l-"
"","","(2,:!.2-tri0uoroethyl)-2H-"
"","","1,4-bellzodiazq,in-2-ooe"
"28  HALOXAZOLAM","","10-bromo-l lb-(o-Ouorophenyl)-"
"","","2,3, 7, 111>-tetrahydrooxazolo {3.2-d"
"","","( I ,4Jbenzodi:w:pine-6(5H) one"
":?9  KEI'AZOLAM","","l l-chloro-8, I 2b-<!ihydro-2,8-dim"
"","","cthyl-12b-phenyl·4H-(l ,31oxazino"
"","","(3,2- d]( I .4)benzodiaz.cpine-4,7(6Hl"
"","","di one"
"","","'"
"30  LEFETAMINE","SP.._","(-)-N.N-d imethyl-"
"","","1.2 diphenylcthylamine"
"31  LOPRAZOLAM","","6'( o-chlorophenyl)2,4-dihydro-2."
"","","((4-methyl-1-piper.&Zinyl)"
"","","methylenel)-8-ni1ro-l H-imidazo"
"","","I 1.2-a) [I ,4)benzodi:izepine- l -onc"
"32  LORAZEPAM","","7-chloro-5-(o-chlorophenyl)-1.3-"
"","","dihydro-3-hydroxy-:?H- I ,4·"
"","","bmzodi:w:pin-2-one"
"33  LORMET AZEP AM","","7-chloro-S· (o-chlorophenyl) -1.3·"
"","","dihydro-3-hydroxy-l-me1nyl-�H-"
"","","1.4-benzodwq,in·:?- one"
"34  MAZINDOL","","5-(p-cltloropl,enyl )-2,><lihydro-3H·"
"","","imidazo (2, I ·""-)isondol-5-oi"
"35  MEDAZEPAM","","7-chloro-2,3-dihydro-l -methyl-5·"
"","","phenyl-I H-1,4-benzodi:w:pinc"
"'.16  MEFENOREX","","N-(3-chloropropyl)-a-"
"","","mcthylphcncthylamine"
"",".",""
"37  MEPROBAMATE","","2-mcthyl-2-propyl· l ,3-"
"","","prop;medioldic.ut>.arnale"
"38  MESOCARB","","3-(0·methylphenethyl)·N·"
"","","(phenylc:ubllmoyl)sydouc: imine"
