"No,1-Proprirtary","Proprietary","Cltrmiraf Hume"
"Hamil","or Trivial",""
"","Names",""
"I  ALLOBARBIT AL","","S.S-diillylbarbicuric acid"
"2  AU'RAZOLAM","","8-chloro-l-methyl-6-phenyl-4H-s-"
"","","lriaz.olo(4,3-a)l I ,4 )bcozodiazepine"
"3  AMFEPRAMONE","die1hylpropion","2-(diethylamino)propiopheoooc"
"4  AMINOREX","","2-llllino-S-phenyl-2-oxazoline"
"S  BARBITAL","","S,S-diethylbarl>ituric acid"
"6  BENZFET AMINE","","benzpheumine N-benzyl-N,a-"
"","","dimclhylphencthyl:un.ine"
"7  BROMAZEPAM -","","7-bromo-l.�ydro-S-<2-pyridyl)-."
"","",":!H-1,4-benzodi:izepin-"
"","","2·one"
"8  BROTIZOLAM","","2-bromo-4-(o-chlorophcnyl}-9-me"
"","",":hyl-6H-thieno(3.2,(J-s-"
"","","lriazolo( 4,3-a)( 1.4 )diaz.epine"
"","bulobarbical","S·butyl-S-ethylbarbitllricacid"
"9  CAMAZEPAM","","7-chloro-1,3-dihydro-3-hydroxy-1-"
"","","mcthyl·S-phenyl-:!H-"
"","","I ,4-benzodiaupin-2-<>ne"
"","","dimethy1Cllbwn""1e ( ester)"
"10 OfLORDIAZEFOXIDE","","7-chloro-2-(methyl=ino)· S-phenyl"
"","","3H· I ,4-benzodiazepine-4--o•ide"
