"","No11-Pmprir1ary","Pmprirui,.v","Chrmiral Nam,:"
"","Ntu111t","or Trivial",""
"","","Numrs",""
"54","PYROVALERONE","","4""-melhyl-2-( 1-pyrrolidinyl)"
"","","","valerophenone"
"SS","SECBUT ABRAIT AL","","S-sec·butyl-S-elhylb:irbi1uric a1Cid"
"56","TEMAZEPAM","","7-cloro-1,3-dihydro-3-hydroxy-t."
"","","","methyl-5-phenyl-2H-1,4-"
"","","","benzodi�in-2-one"
"51","TETRAZEPAM","","7-chloro-S·( I -cyclohexen- l-yl}-1,3-"
"","","","dibydro-l -methyl-2H- l ,4-"
"","","","bcnzodiazepin -2-one"
"58","TRIAZOLAM","","8-chloro-6-)o-chlorophenyl)-1 •"
"","","","memyl-4H-s-Diazolo(4,3-a.J [ I ,4Jbcl"
"","","","zodiazepine"
"59","VINYLBITAL","","S·( 1-methylbutyl)-5-vinylb:irbituric"
"","","",""
"",".","","ucid"
"60","ZOLPIDEM","","N,Nh-1rimc:thyl-2-p-1olylimidazo"
"","","","f I ,'J.- <XJpyridine-3-acetamide"
