"අංකය","","","","අ
ං
කය","(cid:7)මාණය  ස්වභාවය","(cid:28)pබඳ dස්තර","dස්තර"
"","———————————————————————————————————————————————————————————————————————————————————-","","","","","",""
"","(
ෙහ;ටයා^)","","","","","",""
"74","","0.0311","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"75","","0.0340","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"76","","0.0253","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"77","","0.0253","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"78","","0.0267","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"79","","0.0240","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"80","","0.0252","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"81","","0.0265","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"82","","0.0255","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"83","","0.0270","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"84","","0.0262","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"85","","0.0409","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"86","","0.0279","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"87","","0.0267","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"88","","0.0268","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"89","","0.0251","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"90","","0.0254","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"91","","0.0260","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"92","","0.0254","රජය","–","ස)l^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
