"","Made  up  as  follows  :-","","","",""
"Head","102","","Minister  of    Finance,  Economic  Stabilization  and  National  Policies","",""
"","","Programme  01","Operational  Activities","1,276,535,000","328,400,000"
"","","Programme  02","Development  Activities","-","1,897,500,000"
"Head","237","Department  of  National  Palnning","","",""
"","","Programme  01","Operational  Activities","8,146,830,000","2,772,000,000"
"Head","238","Department  of  Fiscal  Policy","","",""
"","","Programme  01","Operational  Activities","81,300,000","1,250,000"
"Head","239","Department  of  External    Resources","","",""
"","","Programme  01","Operational  Activities","451,280,000","1,340,200,000"
"Head","240","Department  of  National  Budget","","",""
"","","Programme  01","Operational  Activities","267,200,000","358,000,000"
"","","Programme  02","Development  Activities","","167,787,953,000      168,311,228,000"
"Head","241","Department  of  Public  Enterprises","","",""
"","","Programme  01","Operational  Activities","624,550,000","75,554,500,000"
"Head","242","Department  of  Management  Services","","",""
"","","Programme  01","Operational  Activities","108,300,000","2,050,000"
"Head","243","Department  of  Development  Finance","","",""
"","","Programme  01","Operational  Activities","21,441,290,000","900,000"
"","","Programme  02","Development  Activities","-","66,041,300,000"
"Head","244","Department  of  Trade  and  Investment  Policies","","",""
"","","Programme  01","Operational  Activities","72,570,000","1,100,000"
"Head","245","Department  of  Public  Finance","","",""
"","","Programme  01","Operational  Activities","95,500,000","7,800,000"
