"Made  up  as  follows  :-","","",""
"Head 171","","Minister  of  Women,  Child  Affairs  and  Social  Empowerment",""
"","","Programme  01
Operational  Activities","1,335,000,000
124,000,000"
"","","Programme  02
Development  Activities","39,709,000,000
2,859,000,000"
"Head 216","","Department  of  Social  Services",""
"","","Programme  01 Operational  Activities","100,000,000
            2,000,000"
"","","Programme  02 Development  Activities","788,000,000
          34,000,000"
"Head","217","Department  of  Probation  and  Childcare  Services",""
"","","Programme  01
Operational  Activities","44,000,000
  1,000,000"
"","","Programme  02
Development  Activities","340,000,000
          64,000,000"
"Head","331","Department  of  Samurdhi  Development",""
"","","Programme  01
Operational  Activities","502,000,000
  8,000,000"
"","","Programme  02
Development  Activities","106,182,000,000                    158,000,000"
"","","Ministry  of  Ports,  Shipping  and  Aviation",""
"","","Recurrent
  1,516,000,000",""
"","","Capital
  2,160,000,000",""
"","Made  up  as  follows  :-","",""
"Head","176","Minister  of  Ports,  Shipping  and  Aviation",""
"","","Programme  01
Operational  Activities","403,100,000             13,000,000"
"","","Programme  02
Development  Activities","1,003,000,000
  2,140,000,000"
"Head","336","Merchant  Shipping  Secretariat",""
"","","Programme  02
Development  Activities","109,900,000
          7,000,000"
