"","","","of the
Accounts  of","of  the","of the"
"","","","Government
Activities  of the","Government","Government"
"","","","Government","",""
"","","","Rs.
Rs.","Rs.","Rs."
"170","Department  of  Management","","","",""
"","Auditing","32401 Advances  to  Public  Officers","","3,000,000           2,500,000        10,000,000","—"
"171","Department  of  Community  Based","","","",""
"","Corrections","32601 Advances  to  Public  Officers","","50,000,000       10,000,000        85,000,000","—"
"172","Department  of  Land  Use  Policy","","","",""
"","Planning","32701 Advances  to  Public  Officers","","20,000,000       15,000,000        80,000,000","—"
"173","Department  of  Manpower  and","","","",""
"","Employment","","32801 Advances  to  Public  Officers     30,000,000       12,000,000        85,000,000","","—"
"174","Department  of  Information","","","",""
"","Technology  Management","32901 Advances  to  Public  Officers","3,000,000            1,900,000","12,000,000","—"
"175","Department  of  Samurdhi","","","",""
"","Development","","33101 Advances  to  Public  Officers    480,000,000  205,950,000  450,000,000","","—"
"176","Department  of  National  Community","","","",""
"","Water  Supply","33201 Advances  to  Public  Officers","","11,000,000            6,000,000      30,000,000","—"
"177","","Office  of  the  Comptroller  General 33301 Advances  to  Public  Officers","","1,500,000            1,200,000          6,000,000","—"
"178","Department  of  Multi  -  purpose","","","",""
"","Development  Task  Force","","33401 Advances  to  Public  Officers     40,000,000        15,000,000  100,000,000","","—"
