"","YS¾I  203","l%
sia;shdks  wd.ñl  lghq;=  fomd¾;fïka;=j","","","",""
"","","jevigyk  02  ixj¾Ok  jevigyk","","177,247,000","51,320,000",""
"","","uyje,s  ixj¾Ok  yd  mßir  wud;HdxYh","","","",""
"","","mqkrdj¾;k","5,464,404,000","","",""
"","","uQ,Ok","41,548,534,000","","",""
"5","","","","","",""
"","","my;  mßÈ  úhoï  ieliS  we;:—","","","",""
"","YS¾I  160","uyje,s  ixj¾Ok  yd  mßir  wud;Hjrhd","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","375,250,000","22,800,000",""
"","","jevigyk  02  ixj¾Ok  jevigyk","","3,458,000,000","39,248,914,000",""
"10","YS¾I  283","jk  ixrlaIK  fomd¾;fïka;=j","","","","úi¾ck  ^ixfYdaOk&"
"","","jevigyk  01  fufyhqï  jevigyk","","1,404,954,000","909,200,000",""
"","YS¾I  291","fjr<  ixrlaIK  yd  fjr<  iïm;a  l<ukdlrK  fomd¾;fïka;=j","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","226,200,000","1,367,620,000",""
"","",";srir  ixj¾Ok""  jkÔù  iy  m%dfoaYSh  ixj¾Ok  wud;HdxYh","","","",""
"15","","mqkrdj¾;k","2,399,725,000","","",""
"","","uQ,Ok","3,178,000,000","","",""
"","","my;  mßÈ  úhoï  ieliS  we;:—","","","",""
"","YS¾I  161",";srir  ixj¾Ok""  jkÔù  iy  m%dfoaYSh  ixj¾Ok  wud;Hjrhd","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","466,005,000","1,122,000,000","27"
