"ශිර්ෂය","ආයතන හාා වැඩ සටහාන","පුනරාවර්තන වියෙ�","ප්‍ර
ා","ග්ධන වියෙ�"
"","","රුපියල්","","රුපියල්"
"","60 වැනි වැඩසටහාන - ප්‍රජා සංවර්ධනය","122,000,000.00","","790,421,160.75"
"","61 වැනි වැඩසටහාන - නිවාස හාා ප්‍රජා පහාසුකම්","2,990,000.00","","100,000,000.00"
"","63 වැනි වැඩසටහාන - වැවිලි යටිත� පහාසුකම් හාා වතු නිවාස","","","147,000,000.00"
"","71 වැනි වැඩසටහාන - දෙරා්හාල් දෙස්වාවන්","343,920,000.00","","863,775,819.47"
"","72 වැනි වැඩසටහාන - �හාජන දෙසෞඛය දෙස්වාවන්","160,080,000.00","","152,360,000.00"
"","73 වැනි වැඩසටහාන - දෙේශීය වෛවෙය දෙස්වාවන්","","","336,126,205.16"
"","93 වැනි වැඩසටහාන - ආගමික හාා සංස්කෘතික කටයුතු","-","","-"
"","96 වැනි වැඩසටහාන - කාන්තා සංවර්ධනය","-","","6,000,000.00"
"811","දෙසෞඛය දෙෙපාර්තදෙම්න්තුව","","",""
"","03 වැනි වැඩසටහාන - පළාාත් පරිපා�නය","529,250,000.00","",""
"","71 වැනි වැඩසටහාන - දෙරා්හාල් දෙස්වාවන්","9,701,100,000.00","",""
"","72 වැනි වැඩසටහාන - �හාජන දෙසෞඛය දෙස්වාවන්","2,160,900,000.00","",""
"812","ආයුර්දෙේෙ දෙෙපාර්තදෙම්න්තුව","","",""
"","73  වැනි වැඩසටහාන - දෙේශීය වෛවෙය දෙස්වාවන්","953,415,000.00","",""
"813","සමුපකාර සංවර්ධන දෙෙපාර්තදෙම්න්තුව","","",""
"","53 වැනි වැඩසටහාන - සමුපකාර සංවර්ධනය","165,900,000.00","",""
"814","පළාාත් පා�න දෙෙපාර්තදෙම්න්තුව","","",""
"","60 වැනි වැඩසටහාන - ප්‍රජා සංවර්ධනය","3,741,850,000.00","",""
"","පළාාත් �ාර්ග සංවර්ධනය, ග්‍රාාමීය යටිත� පහාසුකම්, සංචාාරක","","",""
"820","","","",""
"","සහා ක්‍රීඩා හාා දෙයෞවන කටයුතු අ�ාතයාංශය","","",""
"","03 වැනි වැඩසටහාන - පළාාත් පරිපා�නය","103,175,000.00","","-"
"","50 වැනි වැඩසටහාන - ඉදිකිරීම් හාා �ාර්ග නඩත්තුව","800,000,000.00","","887,398,093.26"
"","52 වැනි වැඩසටහාන - ප්‍රාදෙේශීය සංවර්ධනය","","","138,350,000.00"
"","90 වැනි වැඩසටහාන - විදෙනා්ෙ කටයුතු හාා ක්‍රීඩා","","","487,287,335.26"
"821","ක්‍රීඩා සංවර්ධන දෙෙපාර්තදෙම්න්තුව","","",""
"","90 වැනි වැඩසටහාන - විදෙනා්ෙ කටයුතු හාා ක්‍රීඩා","144,600,000.00","",""
"","ස�ාජ සුභාසාධන, පරිවාස හාා ළා�ාරක්ෂක, ග්‍රාා� සංවර්ධන සහා","","",""
"830","","","",""
"","ග්‍රාාමීය කර්�ාන්ත අ�ාතයාංශය","","",""
"","03 වැනි වැඩසටහාන - පළාාත් පරිපා�නය","64,600,000.00","","8,000,000.00"
"","51 වැනි වැඩසටහාන - කර්�ාන්ත සංවර්ධනය","","","198,000,000.00"
"","60 වැනි වැඩසටහාන - ප්‍රජා සංවර්ධනය","62,110,000.00","","205,500,000.00"
"","95 වැනි වැඩසටහාන - ස�ාජ ආරක්ෂණය","104,000,000.00","","442,000,000.00"
"831","කර්�ාන්ත සංවර්ධන දෙෙපාර්තදෙම්න්තුව","","",""
"","51 වැනි වැඩසටහාන - කර්�ාන්ත සංවර්ධනය","261,413,000.00","",""
"832","පරිවාස, ළා�ාරක්ෂක හාා ස�ාජදෙස්වා දෙෙපාර්තදෙම්න්තුව","","",""
"","95 වැනි වැඩසටහාන - ස�ාජ ආරක්ෂණය","571,203,000.00","",""
"","අධයාපන, දෙතාරතුරු තාක්ෂණ හාා සංස්කෘතික කටයුතු","","",""
"840","","","",""
"","අ�ාතයාංශය","","",""
"","03 වැනි වැඩසටහාන - පළාාත් පරිපා�නය","184,000,000.00","","154,344,497.39"
"","80 වැනි වැඩසටහාන - ප්‍රාථමික අධයාපනය","120,000,000.00","","231,273,512.52"
