"","","","","","","","","Injunction","law"
"","(Hectare)","","","","","","","",""
"39","0.0603","Private","–","","Full","1st class","–","","To access"
"","","","","","","","","","08,"
"","","","","","","","","","10,40,"
"","","","","","","","","","and 38"
"63","0.0108","Private","","–","","Full 
1st class","","–","To access"
"","","","","","","","","","Parcel Nos."
"","","","","","","","","","62, 64,"
"","","","","","","","","","and 52"
"114","0.0055","Private","","–","","Full 
1st class","","–","To access"
"","","","","","","","","","Parcel No."
"","","","","","","","","","112"
"118","0.0134","Private","","–","","Full 
1st class","","–","To access"
"","","","","","","","","","Parcel Nos."
"","","","","","","","","","119,"
"","","","","","","","","","122,"
"","","","","","","","","","and 123"
"129","0.0194","Private","","–","","Full 
1st class","","–","To access"
"","","","","","","","","","Parcel Nos."
"","","","","","","","","","127,"
"","","","","","","","","","128, 130"
"147","0.0060","Private","","–","","Full 
1st class","","–","To access"
"","","","","","","","","","Parcel Nos."
"","","","","","","","","","149, 48"
"187","0.0181","Private","","–","","Full 
1st class","","–","To access"
"","","","","","","","","","Parcel Nos."
"","","","","","","","","","183"
"","","","","","","","","","and 188"
"206","0.0074","Private","","–","","Full 
1st class","","–","To access"
"","","","","","","","","","Parcel No"
"","","","","","","","","","208"
"217","0.0019","Private","","–","","Full 
1st class","","–","To access"
"","","","","","","","","","Parcel No"
"","","","","","","","","","219"
