"jiyg;G","","","k
z
LtUk;","%yjdr;","","18"
",y.","","","nrytpdk;","nrytpdk;","",""
"","","","&gh","&gh","",""
"jiyg;G
308","jghy;  jpizf;fsk;","","","","",""
"","epfo;r;rpj;jpl;lk;      02      mgptpUj;jpr;  nraw;ghLfs;
;","","18,200,000,000","1,800,000,000","",""
"","eP
Pjp>  rpiwr;rhiy  mYty;fs;  kw;Wk;  murpayikg;G","","","","",""
"","kWrPuikg;G  mikr;R","","","","",""
"","kPz;LtUk; nrytpdk;","27,500,000,000","","","",""
"","%yjdr;  nrytpdk;","5,800,000,000","","","",""
"mikT  tUkhW  :—","","","","","",""
"jiyg;G
110","eP
Pjp>  rpiwr;rhiy  mYty;fs;  kw;Wk;  murpayikg;G","","","","",""
"","kWrPuikg;G  mikr;rh;","","","","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","","4,385,200,000","2,566,200,000","xJf;fPl;Lr; rl;lk;","2022 Mk; Mz;bd; 43 Mk; ,yf;f>"
"jiyg;G
228","ePjpkd;w  epUthfk;","","","","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","","9,465,000,000","1,776,000,000","",""
"jiyg;G
229","rl;lkh  mjpgh;  jpizf;fsk;","","","","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","","1,968,500,000","117,500,000","",""
"jiyg;G
230","rl;l tiuQh; jpizf;fsk;","","","","",""
"","epfo;r;rpj;jpl;lk;      01    nray;Kiwr;  nraw;ghLfs;","","148,700,000","4,100,000","",""
"jiyg;G
231","fld;    epthuz  rig  jpizf;fsk;","","","","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","","76,600,000","900,000","",""
"jiyg;G
232","rpiwr;rhiyfs;  jpizf;fsk;","","","","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","","9,797,000,000","1,034,000,000","",""
