"jiyg;G","","k
z
LtUk;","%yjdr;"
",y.","","nrytpdk;","nrytpdk;"
"","","&gh","&gh"
"jiyg;G
258","khtl;lr; nrayfk;> fz;b","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","1,835,000,000","37,000,000"
"jiyg;G
259","khtl;lr; nrayfk;> khj;jis","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","1,003,000,000","119,000,000"
"jiyg;G
260","khtl;lr; nrayfk;> Etnuypah","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","692,000,000","18,000,000"
"jiyg;G
261","khtl;lr; nrayfk;> fhyp","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","2,052,000,000","76,000,000"
"jiyg;G
262","khtl;lr; nrayfk;> khj;jiw","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","1,667,000,000","140,000,000"
"jiyg;G
263","khtl;lr; nrayfk;> mk;ghe;Njhl;il","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","1,172,000,000","236,000,000"
"jiyg;G
264","khtl;lr; nrayfk;/ fr;Nrhp> aho;
;g;ghzk;","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","1,544,000,000","34,000,000"
"jiyg;G
265","khtl;lr; nrayfk;/ fr;Nrhp> kd;dhh;","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","385,000,000","144,000,000"
"jiyg;G
266","khtl;lr; nrayfk;/ fr;Nrhp> tTdpah","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","364,000,000","28,000,000"
"jiyg;G
267","khtl;lr; nrayfk;/ fr;Nrhp> Ky;iyj;jPT","",""
"","epfo;r;rpj;jpl;lk;      01      nray;Kiwr;  nraw;ghLfs;","490,000,000","29,000,000"
