"","","","","cr;r
vy;iyfs;
cr;r","cr;r"
"","","","","vy;iyfs;
vy;iyfs;","vy;iyfs;"
"","","","","&gh
&gh
&gh","&gh"
"85","mur  fUk  nkhopfs;","23601","mur  mYtyh;fSf;fhd","7,000,000                 5,200,000             29,000,000","—"
"","jpizf;fsk;","","Kw;gzk;","",""
"86","Njrpa  jpl;
;lkply;","23701","mur  mYtyh;fSf;fhd","5,000,000                 4,500,000             18,000,000","—"
"","jpizf;fsk;","","Kw;gzk;","",""
"87","murpiwf;  nfhs;ifj;","23801","mur  mYtyh;fSf;fhd","3,500,000                 1,500,000             11,000,000","—"
"","jpizf;fsk;","","Kw;gzk;","",""
"88","ntspehl;L  tsq;fs;","23901","mur  mYtyh;fSf;fhd","6,000,000                 4,000,000             26,000,000","—"
"","jpizf;fsk;","","Kw;gzk;","",""
"89","Njrpa  tuTnryTj;","24001","mur  mYtyh;fSf;fhd","",""
"","","","","9,000,000                 4,900,000             30,000,000","—"
"","jpl;lj;  jpizf;fsk;","","Kw;gzk;","",""
"90","gfpuq;f  njhopy;Kaw;rpfs;","24101","mur  mYtyh;fSf;fhd","",""
"","","","","5,000,000                 3,500,000             16,000,000","—"
"","jpizf;fsk;","","Kw;gzk;","",""
"91","Kfhikj;Jt  Nritfs;","24201","mur  mYtyh;fSf;fhd","5,500,000                 3,300,000             20,000,000",""
"","","","","","—"
"","jpizf;fsk;","","Kw;gzk;","",""
"92","mgptpUj;jp  epjpj;","24301","mur  mYtyh;fSf;fhd","4,000,000                 2,000,000             12,000,000",""
"","","","","","—"
"","jpizf;fsk;","","Kw;gzk;","",""
"93","th;j;jf KjyPl;L nfhs;ifj;","24401","mur mYtyh;fSf;fhd","4,000,000                 3,000,000             14,000,000",""
"","","","","","—"
"","jpizf;fsk;","","Kw;gzk;","",""
"94","murhq;f  epjpj;
;","24501","mur mYtyh;fSf;fhd","",""
"","","","","4,000,000                 3,800,000             14,000,000","—"
"","jpizf;fsk;","","Kw;gzk;","",""
"95","cs;ehl;L  ,iwthpj;","24601","mur mYtyh;fSf;fhd","",""
"","","","","90,000,000               86,000,000           400,000,000","—"
"","jpizf;fsk;","","Kw;gzk;","",""
"96",",yq;ifr;  Rq;fk;","24701","mur mYtyh;fSf;fhd","60,000,000               54,000,000           250,000,000",""
"","","","","","—"
"","","","Kw;gzk;","",""
