"","Y
S
¾I","","m
q","krdj¾;k","u",",Ok"
"","wxlh","","","úhoï","","úhoï"
"","","","","re'","","re'"
"","YS¾I  26","f;dr;=re  ±k.ekSfï  whs;sjdislï  ms<sn|  fldñIka  iNdj","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","41,190,000","","8,000,000"
"","YS¾I 324","l<ukdlrK  ú.Kk  fomd¾;fïka;=j","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","49,050,000","","3,400,000"
"5","","nqoaOYdik wud;HdxYh","","","",""
"","","711,645,000
mqkrdj¾;k","","","",""
"","","751,310,000
uQ,Ok","","","",""
"","","my;  mßÈ  úhoï  ieliS  we;  :—","","","",""
"","YS¾I 101","nqoaOYdik  wud;Hjrhd","","","",""
"10","","jevigyk  01  fufyhqï  jevigyk","","131,860,000","","7,610,000"
"","","jevigyk  02  ixj¾Ok  jevigyk","","75,500,000","","689,000,000"
"","YS¾I 201","fn!oaO  lghq;=  fomd¾;fïka;=j","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","55,469,000","","7,200,000"
"","","jevigyk  02  ixj¾Ok  jevigyk","","448,816,000","","47,500,000"
"15","","uqo,a yd ckudOH wud;HdxYh","","","",""
"","","190,517,853,000
mqkrdj¾;k","","","",""
"","","37,054,235,000
uQ,Ok","","","",""
"","","my;  mßÈ  úhoï  ieliS  we;  :—","","","",""
