"","Y
S
¾I","","","m
q","krdj¾;k","u",",Ok"
"","wxlh","","","","úhoï","","úhoï"
"","","","","","re'","","re'"
"","","lïlre yd jD;a;Sh iñ;s in|;d yd inr.uqj","","","","",""
"","","ixj¾Ok  wud;HdxYh","","","","",""
"","","mqkrdj¾;k","2,221,201,000","","","",""
"","","uQ,Ok","3,010,180,000","","","",""
"5","","my;  mßÈ  úhoï  ieliS  we;  :—","","","","",""
"","YS¾I 193","lïlre yd jD;a;Sh iñ;s in|;d yd inr.uqj","","","","",""
"","","ixj¾Ok  wud;Hjrhd","","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","","128,030,000","","251,270,000"
"","","jevigyk  02  ixj¾Ok  jevigyk","","","130,121,000","","516,810,000"
"10","YS¾I  221","lïlre  fomd¾;fïka;=j","","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","","885,510,000","","2,120,400,000"
"","","jevigyk  02  ixj¾Ok  jevigyk","","","728,590,000","","90,600,000"
"","YS¾I 328","ñksian,  yd  /lSrlaId  fomd¾;fïka;=j","","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","","348,950,000","","31,100,000"
"","","úÿ,s ixfoaY yd äðg,a há;, myiqlï wud;HdxYh","","","","",""
"15","","","","","","",""
"","","mqkrdj¾;k","214,142,000","","","",""
"","","uQ,Ok","2,056,000,000","","","",""
"","","my;  mßÈ  úhoï  ieliS  we;  :—","","","","",""
