"ෙක.ටෙසh","","ස)m_ණ නම/න) සහ :(cid:28)නය","හ
ැ
nP)ප&  ඉඩෙ)  ප(cid:10)%ය සහ","උකස් සහ බැo)","න) ඒ (cid:28)qබඳ"
"අංකය","","","අ
ං
කය 
(cid:7)මාණය  ස්වභාවය","(cid:28)qබඳ dස්තර","dස්තර"
"(","ෙහ9ටයා_)","","","",""
"9","0.0071","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"14","0.0463","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"16","0.0201","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"23","0.0469","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"29","0.1851","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"34","0.0531","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"35","0.5864","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"39","0.1085","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"40","0.0530","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"41","0.0214","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"43","0.0099","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"44","0.4743","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"47","0.0712","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"50","0.0611","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"51","0.0571","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"54","0.0688","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"57","0.0344","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"58","0.0217","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"62","0.0118","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"64","0.0257","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"66","0.1036","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"67","0.1315","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"68","0.0348","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"70","0.1104","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"71","0.0074","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"228","0.0280","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"230","0.0550","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"233","0.0270","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"234","0.0250","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"235","0.1110","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"238","0.0330","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"239","0.1710","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"240","0.0210","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"241","0.0320","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"244","0.0710","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"245","0.5990","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"247","0.0160","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"248","0.0390","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"249","0.0360","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"251","0.0100","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"252","0.0510","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"254","0.1540","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"258","0.0598","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"267","0.2499","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"270","0.4322","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"273","0.3450","රජය","– 
ස)m_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"1
2 - 113/2","","","","",""
"","","","——————————————————————-","",""
"","","","1998 අංක 21 දරන (cid:19)(cid:20)ක(cid:18) (cid:21)යාප(cid:25)ං(cid:27) (cid:28)(cid:29)ෙ(cid:18) පනත","",""
