"","","","","of the
Accounts  of
of  the","of the"
"","","","","Government
Activities  of the
Government","Government"
"","","","","Government",""
"","","","","Rs.
Rs.
Rs.","Rs."
"7 2","Department  of  Educational","","","",""
"","Publications","21301","Advances  to  Public  Officers","18,000,000
6,500,000
44,000,000","—"
"7 3","Department  of  Educational","21302","Printing,  Publicity  and","",""
"","Publications","","Sales  of  Publications","4,600,000,000     4,650,000,000     12,000,000,000","1,600,000,000"
"7 4","Department  of  Technical","","","",""
"","Education  and  Training","21501","Advances  to  Public  Officers","60,000,000
50,000,000
200,000,000","—"
"7 5","Department  of  Social  Services","21601","Advances  to  Public  Officers","26,000,000
15,500,000
90,000,000","—"
"7 6","Department  of  Probation  and","","","",""
"","Child  Care  Services","21701","Advances  to  Public  Officers","20,000,000
10,500,000
80,000,000","—"
"7 7","Department  of  Sports","","","",""
"","Development","21901","Advances  to  Public  Officers","16,000,000
  7,500,000
50,000,000","—"
"7 8","Department  of  Ayurveda","22001","Advances  to  Public  Officers","55,000,000
33,000,000
190,000,000","—"
"7 9","Department  of  Labour","22101","Advances  to  Public  Officers","78,000,000
65,000,000
280,000,000","—"
"8 0","Sri  Lanka  Army","22201","Advances  to  Public  Officers","3,766,950,000   2,575,140,000
5,965,000,000","—"
"8 1","Sri  Lanka  Navy","22301","Advances  to  Public  Officers   560,000,000 510,000,000","900,000,000","—"
