"Head","","","","Recurrent","Capital"
"No.","","","","Expenditure","Expenditure"
"","","","","Rs.","Rs."
"Head 316","","North  Western  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","0","—"
"","","Programme  02","Development  Activities","—","0"
"Head","317","North  Central  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","0","—"
"","","Programme  02","Development  Activities","—","0"
"Head","318","Uva  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","0","—"
"","","Programme  02","Development  Activities","—","0"
"Head","319","Sabaragamuwa  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","0","—"
"","","Programme  02","Development  Activities","—","0"
"Head","321","Eastern  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","0","—"
"","","Programme  02","Development  Activities","—","0"
