"109","Department  of  Excise","24801","Advances  to  Public  Officers","60,000,000","40,000,000
220,000,000","—"
"110","Department  of  Treasury","","","","",""
"","Operations","24901","Advances  to  Public  Officers","10,000,000","4,000,000
28,000,000","—"
"111","Department  of  State  Accounts","25001","Advances  to  Public  Officers","5,000,000","2,000,000
16,000,000","—"
"112","Department  of  State  Accounts","25002","Advances  for  Payments","","",""
"","","","on  behalf  of  other","","",""
"","","","Governments","4,000,000","2,000,000
2,800,000","—"
"113","Department  of  State  Accounts","25003","Miscellaneous  Advances","10,000,000","2,000,000   200,000,000","—"
"114","Department  of  Valuation","25101","Advances  to  Public  Officers","31,000,000","18,000,000   100,000,000","—"
"115","Department  of  Census  and","","","","",""
"","Statistics","25201","Advances  to  Public  Officers","50,000,000","35,000,000
210,000,000","—"
"116","Department  of  Pensions","25301","Advances  to  Public  Officers","51,000,000","32,000,000
225,000,000","—"
"117","Department  of  Registrar  General","25401","Advances  to  Public  Officers","85,000,000","60,000,000   290,000,000","—"
"118","District  Secretariat,  Colombo","25501","Advances  to  Public  Officers","67,000,000","43,000,000
242,000,000","—"
"119","District  Secretariat,  Gampaha","25601","Advances  to  Public  Officers","105,000,000","70,000,000
330,000,000","—"
"120","District  Secretariat,  Kalutara","25701","Advances  to  Public  Officers","95,000,000","64,000,000   400,000,000","—"
"121","District  Secretariat,  Kandy","25801","Advances  to  Public  Officers","78,000,000","65,000,000   255,000,000","—"
"122","District  Secretariat,  Matale","25901","Advances  to  Public  Officers","66,000,000","33,000,000   200,000,000","—"
"123","District  Secretariat,  Nuwara-Eliya","26001","Advances  to  Public  Officers","40,000,000","26,000,000
110,000,000","—"
"124","District  Secretariat,  Galle","26101","Advances  to  Public  Officers","72,000,000","64,000,000
251,000,000","—"
"125","District  Secretariat,  Matara","26201","Advances  to  Public  Officers","70,000,000","67,000,000   275,000,000","—"
"126","District  Secretariat,  Hambantota","26301","Advances  to  Public  Officers","78,000,000","42,000,000   225,000,000","—"
