"Head","","","","Recurrent","Capital"
"No.","","","","Expenditure","Expenditure"
"","","","","Rs.","Rs."
"","","Ministry  of  Health,  Nutrition  and  Indigenous  Medicine","","",""
"","","Recurrent","143,625,998,000","",""
"","","Capital","41,856,400,000","",""
"Made  up  as  follows:-","","","","",""
"Head","111","Minister  of  Health,  Nutrition  and  Indigenous  Medicine","","",""
"","","Programme  01
Operational  Activities","","125,920,048,000","11,822,200,000"
"","","Programme  02
Development  Activities","","16,038,950,000","29,557,200,000"
"Head","220","Department  of  Ayurveda","","",""
"","","Programme  01
Operational  Activities","","119,  300,000","13,100,000"
"","","Programme  02
Development  Activities","","1,547,700,000","463,900,000"
"","","Ministry  of  Foreign  Affairs","","",""
"","","Recurrent","11,804,800,000","",""
