"Head 293","","Department  of  Rubber  Development","","",""
"","","Programme  02","Development  Activities","328,000,000","846,000,000"
"","","","Ministry  of  Hill  Country  New  Villages,  Infrastructure  and  Community  Development","",""
"","","Recurrent","","368,000,000",""
"","","Capital","","3,515,000,000",""
"Made  up  as  follows:-","","","","",""
"Head  140","","","Minister  of  Hill  Country  New  Villages,  Infrastructure  and  Community  Development","",""
"","","Programme  01","Operational  Activities","368,000,000","15,000,000"
"","","Programme  02","Development  Activities","—","3,500,000,000"
"","","","Ministry  of  Industry  and  Commerce,  Resettlement  of  Protracted  Displaced  Persons","",""
"","","and  Co-operative    Development","","",""
"","","Recurrent","","2,759,000,000","Appropriation Act, No. 6 of 2019"
"","","Capital","10,135,000,000","",""
"","Made  up  as  follows:-","","","",""
"Head","149","","Minister  of  Industry  and  Commerce,  Resettlement  of  Protracted  Displaced  Persons","",""
"","","and  Co-operative  Development","","",""
"","","Programme  01","Operational  Activities","691,650,000","3,727,000,000"
"","","Programme  02","Development  Activities","1,716,350,000","6,304,000,000"
"Head","297","Department  of  the  Registrar  of  Companies","","",""
"","","Programme  01","Operational  Activities","68,000,000","—"
"Head","298","","Department  of  Measurement  Units,  Standards  and  Services","",""
"","","Programme  01","Operational  Activities","111,000,000","27
10,000,000"
