"Head","","","Recurrent","Capital"
"No.","","","Expenditure","Expenditure"
"","","","Rs.","Rs."
"Head","265","District  Secretariat/  Kachcheri  -  Mannar","",""
"","","Programme  01
Operational  Activities","0","0"
"Head","266","District  Secretariat/  Kachcheri  -  Vavuniya","",""
"","","Programme  01
Operational  Activities","0","0"
"Head","267","District  Secretariat/  Kachcheri  -  Mullaitivu","",""
"","","Programme  01
Operational  Activities","0","0"
"Head","268","District  Secretariat/  Kachcheri  -  Killinochchi","",""
"","","Programme  01
Operational  Activities","0","0"
"Head","269","District  Secretariat/  Kachcheri  -  Batticaloa","",""
"","","Programme  01
Operational  Activities","0","0"
"Head","270","District  Secretariat,  Ampara","",""
"","","Programme  01
Operational  Activities","0","0"
"Head","271","District  Secretariat/  Kachcheri  -  Trincomalee","",""
"","","Programme  01
Operational  Activities","0","0"
"Head","272","District  Secretariat,  Kurunegala","",""
"","","Programme  01
Operational  Activities","0","0"
"Head","273","District  Secretariat,  Puttalam","",""
"","","Programme  01
Operational  Activities","0","0"
