"","","","","of the
Accounts  of","of  the","of the"
"","","","","Government
Activities  of the","Government","Government"
"","","","","Government","",""
"","","","","Rs.
Rs.","Rs.","Rs."
"152","Department  of  Surveyor  General","28801","Advances  to  Public  Officers","151,000,000 122,000,000","450,000,000","—"
"153","Department  of  Export  Agriculture","28901","Advances  to  Public  Officers","47,000,000
  29,000,000","130,000,000","—"
"154","Department  of  Fisheries  and","","","","",""
"","Aquatic  Resources","29001","Advances  to  Public  Officers","30,000,000
20,500,000","110,000,000","—"
"155","Department  of  Coast  Conservation","","","","",""
"","and  Coastal  Resource  Management","29101","Advances  to  Public  Officers","15,000,000
  9,500,000","48,000,000","—"
"156","Department  of  Animal","","","","",""
"","Production  and  Health","29201","Advances  to  Public  Officers","40,000,000
23,000,000","120,000,000","—"
"157","Department  of  Rubber","","","","",""
"","Development","29301","Advances  to  Public  Officers","21,000,000
15,000,000","60,000,000","—"
"158","Department  of  National","","","","",""
"","Zoological  Gardens","29401","Advances  to  Public  Officers","38,000,000
15,000,000","105,000,000","—"
"159","Department  of  Commerce","29501","Advances  to  Public  Officers","6,500,000
3,500,000","22,000,000","—"
"160","Department  of  Import  and","","","","",""
"","Export  Control","29601","Advances  to  Public  Officers","5,100,000
2,500,000","20,000,000","—"
"161","Department  of  the  Registrar  of","","","","",""
"","Companies","29701","Advances  to  Public  Officers","8,600,000
3,700,000","25,000,000","—"
