"Head","274","District  Secretariat,  Anuradhapura","","",""
"","","Programme  01","Operational  Activities","0","0"
"Head","275","District  Secretariat  -  Polonnaruwa","","",""
"","","Programme  01","Operational  Activities","0","0"
"Head","276","District  Secretariat  -  Badulla","","",""
"","","Programme  01","Operational  Activities","0","0"
"Head","277","District  Secretariat,  Monaragala","","",""
"","","Programme  01","Operational  Activities","0","0"
"Head","278","District  Secretariat,  Rathnapura","","",""
"","","Programme  01","Operational  Activities","0","0"
"Head","279","District  Secretariat,  Kegalle","","",""
"","","Programme  01","Operational  Activities","0","0"
"Head","312","Western  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","0","—"
"","","Programme  02","Development  Activities","—","0"
"Head","313","Central  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","0","—"
"","","Programme  02","Development  Activities","—","0"
"Head","314","Southern  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","0","—"
"","","Programme  02","Development  Activities","—","0"
"Head","315","Northern  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","0","—"
"","","Programme  02","Development  Activities","—","0"
