"","","",",isQh;  mYty;fs;>  jpwd;  mgptpUj;jp  mikr;R","","",""
"","","","kPz;LtUk; nrytpdk;","3>917>095>000","",""
"","","","%yjdr;  nrytpdk;","4>700>050>000","",""
"","mikT  tUkhW",":","","","",""
"jiyg;G","156","",",isQh;  mYty;fs;>  jpwd;  mgptpUj;jp  mikr;rh;","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","124>690>000","25>800>000"
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","2>689>920>000","4>364>900>000"
"jiyg;G","215","","njhopDl;gf;  fy;tp  kw;Wk;  gapw;rpj;  jpizf;fsk;","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","116>205>000","14>700>000"
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","986>280>000","294>650>000"
"","Rw;whly;  mikr;R","","","","",""
"","","","kPz;LtUk; nrytpdk;","","1>400>300>000",""
"","","","%yjdr;  nrytpdk;","","2>017>000>000",""
"","mikT  tUkhW",":","","","",""
"jiyg;G","160","","Rw;whly;  mikr;rh;","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","178>800>000","22>750>000"
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","371>800>000","1>581>000>000"
"jiyg;G","283","","tdtsj;  jpizf;fsk;","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","849>700>000","413>250>000"
"","","","ePh;  toq;fy;>  tbfhyikg;G  mikr;R","","",""
"","","","kPz;LtUk; nrytpdk;","156>375>000","",""
"","","","%yjdr;  nrytpdk;","33>000>150>000","",""
"","mikT  tUkhW",":","","","",""
"jiyg;G","166","","ePh;toq;fy;>  tbfhyikg;G  mikr;rh;","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","106>375>000","8>250>000"
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","50>000>000","32>991>900>000"
