"","August,  2019","","September,  2019","","August,  2019","","September,  2019"
"","","Other  Liabilities","","","","","Foreign  Currency  Non  Financial  Assets"
"","","","","","172,922,928,466","","Gold
168,591,372,668"
"4,790","","Deferred Grants","4,615","","","172,922,928,466",""
"10,597,865,065","","Pension and Other Post","10,590,657,054","","","",""
"","","Employment Benefit Plans","","","","",""
"","","Miscellaneous Liabilities and Accruals","143,663,768","","","",""
"148,897,958","10,746,767,813","","","10,734,325,437","","",""
"","","","","","","","Non  Financial  Assets"
"","","","","","5,838,380,125","","Inventories"
"","","Equity","","","","","5,939,105,933"
"","","","","","1,527,910,331","","Other Receivables and Prepayments
1,467,927,457"
"","","Capital  Funds","50,000,000,000","","16,846,107,554","","Property, Plant & Equipment"
"50,000,000,000","","","","","","","16,846,907,181"
"","","Reserves","249,222,755,000","299,222,755,000","42,086,884","24,254,484,894","Intangible Assets"
"250,198,386,845","300,198,386,845","","","","","","41,462,668"
