"Ja - ela","300","","","","(exit - C4)","C2)","","(exit - a1)","(exit - a2)","(exit - a3)","","(exit - a5)","(exit - a6)","(exit - a7)","(exit - a8)","(exit -a9)","","(exit - a11)","(exit -a12)","(exit - a13)
(exit - a14)",""
"Kerawalapitiya","450","300","","","","","","","","","","","","","","","","","","",""
"Peliyagoda","600","400","300","","","","","","","","","","","","","","","","","","Category 3 Vehicles shall include the following:-"
"Kadawatha","650","500","200","400","","","","","","","","","","","","","","","","","Heavy Motor Coach"
"Kaduwela / Kotalawala","850","700","400","700","200","","","","","","","","","","","","","","","","Combination buses"
"athurugiriya","900","750","450","750","250","200","","","","","","","","","","","","","","","Heavy Motor Lorry"
"Kottawa","950","800","500","800","300","250","200","","","","","","","","","","","","","",""
"Kahathuduwa","1000","850","550","850","350","300","250","200","","","","","","","","","","","","","Lorries and Trucks having more than 2 - axles"
"Gelenigama","1100","950","650","950","450","400","350","250","200","","","","","","","","","","","",""
"dodangoda","1300","1150","850","1150","650","600","550","450","400","300","","","","","","","","","","",""
"Welipenna","1450","1300","1000","1300","800","750","650","600","500","450","250","","","","","","","","","",""
"Kurundugahahetepma","1700","1550","1250","1550","1050","1000","950","850","800","700","450","300","","","","","","","","",""
"baddegama","1850","1700","1400","1700","1200","1150","1100","1000","950","850","600","450","250","","","","","","","",""
"Pinnaduwa","2050","1900","1600","1900","1400","1350","1250","1200","1150","1050","750","650","350","250","","","","","","",""
"Imaduwa","2200","2050","1750","2050","1550","1500","1400","1350","1300","1200","900","800","500","350","200","","","","","",""
"Kokmaduwa","2300","2150","1850","2150","1650","1600","1500","1400","1350","1250","1000","850","600","450","250","200","","","","",""
"Godagama","2400","2250","1950","2250","1750","1700","1600","1550","1500","1400","1150","1000","750","600","400","250","200","","","",""
"aparekka","2650","2500","2200","2500","2000","1950","1850","1800","1750","1650","1400","1250","1000","850","650","500","450","250","","",""
"beliatta","2800","2650","2350","2650","2150","2100","2000","1950","1900","1800","1550","1400","1150","1000","800","650","600","400","250","",""
"Kasagala","2950","2800","2500","2800","2300","2250","2150","2100","2050","1950","1700","1550","1300","1150","950","800","750","550","400","200",""
