"Ja - ela","300","","","","(exit - C4)","C2)","","","","","","","Kurundugahahetepma","","","","","","","",""
"Kerawalapitiya","400","300","","","","","","","","","","","","","","","","","","",""
"Peliyagoda","450","350","300","","","","","","","","","","","","","","","","","","Category 2 Vehicles shall include the following:-"
"Kadawatha","550","450","150","300","","","","","","","","","","","","","","","","","Motor Coaches"
"Kaduwela / Kotalawala","700","600","300","600","150","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","All Buses   (Single & Double doors)"
"athurugiriya","700","600","300","600","150","100","","","","","","","","","","","","","","",""
"Kottawa","750","650","350","650","200","150","150","","","","","","","","","","","","","","Light Motor Lorries"
"Kahathuduwa","800","700","400","700","250","200","200","150","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","Lorries and Trucks having 2-Axles & 6-Wheels"
"Gelenigama","850","750","450","750","300","250","250","200","150","","","","","","","","","","","",""
"dodangoda","950","850","550","850","400","350","350","300","250","200","","","","","","","","","","",""
"Welipenna","1050","950","650","950","500","450","400","350","300","250","200","","","","","","","","","",""
"Kurundugahahetepma","1150","1050","750","1050","600","550","550","500","450","400","300","250","","","","","","","","",""
"baddegama","1250","1150","850","1150","700","650","650","600","550","500","350","300","200","","","","","","","",""
"Pinnaduwa","1350","1250","950","1250","800","750","750","700","650","600","450","400","250","200","","","","","","",""
"Imaduwa","1450","1350","1050","1350","900","850","850","800","750","700","650","550","400","300","150","","","","","",""
"Kokmaduwa","1500","1400","1100","1400","950","900","900","850","800","750","700","600","450","350","200","150","","","","",""
"Godagama","1550","1450","1150","1450","1000","950","950","900","850","800","750","700","500","400","300","200","150","","","",""
"aparekka","1750","1650","1350","1650","1200","1150","1150","1100","1050","1000","950","900","700","600","500","400","350","200","","",""
"beliatta","1850","1750","1450","1750","1300","1250","1250","1200","1150","1100","1050","1000","800","700","600","500","450","300","200","",""
"Kasagala","1900","1800","1500","1800","1350","1300","1300","1250","1200","1150","1100","1050","850","750","650","550","500","350","250","150",""
