"Ja - ela","(exit - b4)
150","(exit - b3)","(exit - b2)","(exit - b1)","(exit - C4)","C3) / Kotalawala 
(exit - C2)","(exit - C1)","(exit - a1)","(exit - a2)","(exit - a3)","(exit - a4)","(exit - a5)","Kurundugahahetepma
a (exit - a6)","(exit - a7)","(exit - a8)","(exit -a9)","(exit - a10)","(exit - a11)","(exit -a12)","(exit - a13)
(exit - a14)",""
"Kerawalapitiya","250","150","","","","","","","","","","","","","","","","","","",""
"Peliyagoda","300","250","150","","","","","","","","","","","","","","","","","",""
"Kadawatha","350","250","100","150","","","","","","","","","","","","","","","","","Category 1 Vehicles shall include the following:-"
"Kaduwela / Kotalawala","450","350","200","350","100","","","","","","","","","","","","","","","","Cars"
"athurugiriya","500","400","250","400","150","100","","","","","","","","","","","","","","","All Cars"
"Kottawa","500","400","250","400","150","100","100","","","","","","","","","","","","","","All Jeeps"
"Kahathuduwa","550","450","300","450","200","150","150","100","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","All saloon station waggons"
"Gelenigama","600","500","350","500","250","200","200","150","100","","","","","","","","","","","","Dual Purppose Vehicles"
"dodangoda","650","550","400","550","300","250","250","200","150","150","","","","","","","","","","","All cabs (single & double)"
"Welipenna","700","600","450","600","350","300","300","250","200","200","100","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","All passenger & goods vans"
"Kurundugahahetepma","750","650","500","650","400","350","350","300","250","250","150","150","","","","","","","","","Light Motor Lorry"
"baddegama","800","700","550","700","450","400","400","350","300","250","200","200","100","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","Lorries & trucks having 2- Axles & 4-wheels"
"Pinnaduwa","850","750","600","750","500","450","450","400","350","300","250","250","150","150","","","","","","",""
"Imaduwa","900","800","650","800","550","500","500","450","400","350","300","300","250","200","100","","","","","",""
"Kokmaduwa","950","850","700","850","600","550","550","500","450","400","350","300","250","200","150","100","","","","",""
"Godagama","1000","900","750","900","650","600","600","550","500","450","400","350","300","250","200","150","100","","","",""
"aparekka","1100","1000","850","1000","750","700","700","650","600","550","500","450","400","350","300","250","200","100","","",""
"beliatta","1200","1100","950","1100","850","800","800","750","700","650","600","550","500","450","400","350","300","200","150","",""
"Kasagala","1200","1100","950","1100","850","800","800","750","700","650","600","550","500","450","400","350","300","200","200","100",""
