"","For  what  duty","Payable  to","Payable  by","Amount"
"","","Whom","Whom","Rs.
cts."
"8.","Solemnising  marriage","Registrar","Parties  to",""
"","","","","250.00"
"","outside  his  office  under","","marriage",""
"","section  38(1)","","",""
"9.","Solemnising  marriage","Registrar","Parties  to",""
"","","","","1000.00"
"","outside  his  office  under","","marriage",""
"","section  38(2)","","",""
"10.","Solemnising  marriage","Additional","Parties  to",""
"","","","","300.00"
"","outside  his  office  under","District","marriage",""
"","section  38(2)","Registrar","",""
"11.","Solemnising  marriage","District","Parties  to",""
"","","","","350.00"
"","outside  his  office  under","Registrar","marriage",""
"","section  38(2)","","",""
"12.","Registration  of  marriage","Registrar","Parties  to",""
"","","","","25.00"
"","Solemnised  in  a  registered","","marriage",""
"","place  of  public  worship","","",""
"13.","Issuing  Registrar’s","Registrar","Parties  to",""
"","","","","10.00"
"","Certificate  on  a  notice  of","","marriage",""
"","marriage","","",""
"14.","Issuing  Registrar’s","Additional","Parties  to",""
"","","","","10.00"
"","Certificate  on  a  notice  of","District","marriage",""
"","marriage","Registrar","",""
"15.","Issuing  Registrar’s","District","Parties  to",""
"","","","","10.00"
"","Certificate  on  a  notice  of","Registrar","marriage",""
"","marriage","","",""
