"","","","","","","","","","","","","","","",""
"","50","284(1)","","","","“ஒ(cid:8076)க்குதற் 
கட்டைளெயான்(cid:8096)”","","","","","“ஒ(cid:8076)க்குதற் 
கட்டைளெயான்(cid:8096)”","","","",""
"","","","","","","","","","","","","","","",""
"","51","287","","","","“பய(cid:8084)ள்ளதாதல் 
ேவண்(cid:8076)ம்”,","","","","","“பய(cid:8084)ள்ளதாதல் 
ேவண்(cid:8076)ம்”,","","","",""
"","","","","","","","","","","","","","","",""
"","52","290","","","","“ஒ(cid:8076)க்குதற் 
கட்டைளெயான்(cid:8096)”","","","","","“ஒ(cid:8076)க்குதற் 
கட்டைளெயான்(cid:8096)”","","","",""
"","53","292(2)(இ)","","","","“வங்கி 
(cid:8089)றிந்தவாிடமி(cid:8094)ந்(cid:8080)  
அல்ல(cid:8080) 
கடனி(cid:8096)க்கவைகயற்ற 
வாிடமி(cid:8094)ந்(cid:8080) 
வ(cid:8094)மதியான 
தனிேவறான 
தனிெசான்றாக (cid:8107)ம், 
ஏைனய தனிேவறான 
கடன் ெகா(cid:8076)நர்க(cid:8102)டன் 
(cid:8106)தப்ப(cid:8074)(cid:8092)ம் அம்மீதி 
ெதாடர்பிலான 
ந(cid:8076)க்கட்டல்;”","","","","","“வங்கி(cid:8089)றிந்த 
வாிடமி(cid:8094)ந்(cid:8080) 
அல்ல(cid:8080)  கடனி(cid:8096)க்க","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","வைகயற்றவாிட 
மி(cid:8094)ந்(cid:8080) வ(cid:8094)மதியான 
தனிேவறான தனி","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","கடன்ெகா(cid:8076) 
நர்க(cid:8102)டன் 
(cid:8106)தப்ப(cid:8074)(cid:8092)ம் அம்மீதி 
ெதாடர்பிலான  
ந(cid:8076)க்கட்டல்;”.","ெசான்றாக(cid:8107)ம்,","","",""
"","","","","","","","","","","","","ஏைனய தனிேவறான","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","54","292(2)(ஏ)","","","","“அ(cid:8100)வலர்கைள 
ஒ(cid:8076)க்குதல்”","","","","","“அ(cid:8100)வல்கைள 
ஒ(cid:8076)க்குதல்”.","","","",""
"","55","296(4)","","","","“விதித்(cid:8080)ைரக்கப்பட்ட 
கட்டணம்”","","","","","“விதித்(cid:8080)ைரக்கப்பட்ட 
கட்டணம்”.","","","",""
"","56","298(1)","","","","“இ(cid:8096)தி 
விபரத்திரட்ைடச் 
ெசய்தார்”","","","","","“இ(cid:8096)தி 
விபரத்திரட்ைடச் 
ெசய்தார்”.","","","",""
"","57","298(3)","","","","“எல்லாப் 
ெபா(cid:8096)ப்பி(cid:8098)(cid:8094)ந்(cid:8080)ம் 
அவைர வி(cid:8076)வித்தல்”,","","","","","“எல்லாப் 
ெபா(cid:8096)ப்பி(cid:8098)(cid:8094)ந்(cid:8080)ம் 
அவைர வி(cid:8076)வித்தல்”,","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","58","299(1)","","","","“தனிேவறான 
கூட்டங்கள்”","","","","","“தனிேவறான 
கூட்டங்கள்”.","","","",""
"","59","324(1)","","","","“பன்னிெரண்(cid:8076) 
மாதங்கைள விஞ்சாத”","","","","","“பன்னிெரண்(cid:8076) 
மாதங்கைள 
விஞ்சாத”.","","","",""
"","60","","326(2)","","","“பணிப்பாளர்களின்”","","","","","“பணிப்பாளர்களின்”","","","",""
"","","","","","","","","","","","","","","",""
"","61","328(1)","","","","“ஒழிப்ேபான் அல்ல(cid:8080) 
அதிகாாிெயா(cid:8094)வர்”,","","","","","“ஒழிப்ேபான் அல்ல(cid:8080)","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","அதிகாாிெயா(cid:8094)வர்”.","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","62","352","","","","“நியாயாதிக்கம் 
ெகா(cid:8076)க்கும் 
ேநாக்கத்(cid:8080)க்காக”,","","","","","“நியாயாதிக்கம் 
ெகா(cid:8076)க்கும்","","","",""
"","","","","","","","","","","","ேநாக்கத்(cid:8080)க்காக”,","","","",""
"","","","","","","","","","","","","","","",""
"","63","358(11)(அ)","","","","“ஆக்குகின்ற அல்ல(cid:8080) 
அதிகாரமளிக்கின்ற”,","","","","","","","","",""
"","","","","","","","","","","","“ஆக்குகின்ற அல்ல(cid:8080)","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","அதிகாரமளிக்கின்ற”.","","","",""
"","","","","","","","","","","","","","","",""
