"","","","","","Adjudication","special or"
"","","","","","and","personal"
"","","","","","Injunction","law"
"","(Hectare)","","","","",""
"1:517","0.0006","The State","Full","1st Class","_","Open wasteland"
"1:518","0.0013","The State","Full","1st Class","_","_"
"1:519","0.0045","The State","Full","1st Class","_","_"
"1:520","0.0046","The State","Full","1st Class","_","_"
"1:521","0.0061","The State","Full","1st Class","_","_"
"1:522","0.0057","The State","Full","1st Class","_","_"
"1:524","0.0039","The State","Full","1st Class","_","_"
