"","3 8","Minister  of  Women  and  Child","","","","",""
"","","Affairs  and  Dry  Zone","","","","",""
"","","Development","12001 Advances  to  Public  Officers","34,000,000","23,000,000 105,000,000","","—"
"","3 9","Minister  of  Lands  and","","","","",""
"5","","Parliamentary  Reforms","12201 Advances  to  Public  Officers","30,000,000","11,000,000","95,000,000","—"
"","4 0","Minister  of    Housing,  Construction","","","","",""
"","","and  Cultural  Affairs","12301 Advances  to  Public  Officers","59,800,000","27,725,000 217,000,000","","—"
"","4 1","Minister  of  Education","12601 Advances  to  Public  Officers","1,700,000,000","1,070,000,000","3,700,000,000","—"
"","4 2","Minister  of  Public  Administration","","","","",""
"10","","and  Disaster  Management","13001 Advances  to  Public  Officers","40,000,000","23,200,000","85,000,000","—"
"","4 3","Minister  of  Plantation  Industries","13501 Advances  to  Public  Officers","20,000,000","8,000,000","60,000,000","—"
"","4 4","Minister  of  Hill  Country  New","","","","",""
"","","Villages,  Infrastructure  and","","","","",""
"","","Community    Development","14001 Advances  to  Public  Officers","16,000,000","7,000,000","45,000,000","—"
"15","4 5","Minister  of  Industry  &  Commerce","","","","",""
"","","and  Reselttment  of  Protracted","","","","",""
"","","Displaced  Persons  and","","","","",""
"","","Co-opperative  Development","14901 Advances  to  Public  Officers","45,000,000","15,000,000   150,000,000","","—"
"","4 6","Minister  of  Internal  &  Home","","","","",""
"20","","Affairs  and  Provincial  Councils","","","","",""
"","","&  Local  Government","15501 Advances  to  Public  Officers","703,000,000","310,700,000","2,396,000,000",""
