"","131","District  Secretariat/  Kachcheri,","","",""
"","","Trincomalee
27101 Advances  to  Public  Officers","40,000,000","23,000,000 120,000,000","—"
"","132","District  Secretariat,  Kurunegala","27201 Advances  to  Public  Officers 112,000,000","85,000,000 365,000,000","—"
"","133","District  Secretariat,  Puttalam
27301 Advances  to  Public  Officers","60,000,000","41,000,000 195,000,000","—"
"5","134","District  Secretariat,  Anuradhapura 27401 Advances  to  Public  Officers","80,000,000","51,000,000 270,000,000","—"
"","135","District  Secretariat,  Polonnaruwa
27501 Advances  to  Public  Officers","33,000,000","20,000,000 120,000,000","—"
"","136","District  Secretariat,  Badulla
27601 Advances  to  Public  Officers","69,000,000","41,000,000 216,000,000","—"
"","137","District  Secretariat,  Monaragala
27701 Advances  to  Public  Officers","37,000,000","29,000,000 125,000,000","—"
"","138","District  Secretariat,  Ratnapura
27801 Advances  to  Public  Officers","68,000,000","50,000,000 285,000,000","—"
"10","139","District  Secretariat,  Kegalle
27901 Advances  to  Public  Officers","63,000,000","40,000,000 185,000,000","—"
"","140","Departament  of  Project","","",""
"","","Management  and  Monitoring
28001 Advances  to  Public  Officers","5,000,000","3,300,000
20,000,000","—"
"","141","Department  of  Agrarian","","",""
"","","Development","28101 Advances  to  Public  Officers 305,000,000 242,000,000 650,000,000","","—"
"15","142","Department  of  Irrigation","28201 Advances  to  Public  Officers 260,000,000 160,000,000 800,000,000","","—"
"","143","Department  of  Forests
28301 Advances  to  Public  Officers","79,000,000","71,000,000 316,000,000","—"
"","144","Department  of  Wildlife","","",""
"","","Conservation
28401 Advances  to  Public  Officers","69,000,000","40,000,000 240,000,000","—"
"","145","Department  of  Agriculture","28501 Advances  to  Public  Officers 335,000,000 185,000,000 1,000,000,000","","—"
"20","146","Department  of  Agriculture
28502 Maintenance  of  Agricultural","","",""
"","","Farms  and  Seed  Sales","590,000,000 610,000,000","70,000,000","—"
