"","2 2","Delimitation  Commission","02501 Advances  to  Public  Officers","1,000,000","100,000
3,000,000","—"
"","2 3","Non  Cabinet  Minister  of  Digital","","","",""
"","","Infrastructure  and  Information","","","",""
"","","Technology","05101 Advances  to  Public  Officers","4,400,000","2,500,000
20,000,000","—"
"5","2 4","Non  Cabinet  Minister  of  Science,","","","",""
"","","Technology  and  Research","05201 Advances  to  Public  Officers","45,900,000","22,300,000 137,000,000","—"
"","2 5","Non  Cabinet  Minister  of  Public","","","",""
"","","Distribution  and  Economic","","","",""
"","","Reforms","05301 Advances  to  Public  Officers","4,500,000","2,500,000
20,000,000","—"
"10","2 6","Minister  of  Buddhasasana  and","","","",""
"","","Wayamba  Development","10101 Advances  to  Public  Officers","10,600,000","3,900,000
36,000,000","—"
"","2 7","Minister  of  Finance  and  Mass","","","",""
"","","Media","10201 Advances  to  Public  Officers","36,000,000","16,500,000 150,000,000","—"
"","2 8","Minister  of  Defence","","10301 Advances  to  Public  Officers 245,000,000 161,400,000 692,000,000","","—"
"15","2 9","Minister  of  National  Policies,","","","",""
"","","Economic  Affairs,  Resettlement","","","",""
"","","and    Rehabilitation,  Northern  Province","","","",""
"","","Development,  Vocational  Training","","","",""
"","","and  Skills  Development  and  Youth","","","",""
"20","","Affairs","10401 Advances  to  Public  Officers","74,750,000","23,300,000 214,000,000","—"
"","30","Minister  of  Postal  services  and","","","",""
"","","Muslim  Religious  Affairs","10801 Advances  to  Public  Officers","8,000,000","2,200,000
60,000,000","—"
