"","","","","Rs.","Rs.","Rs.","Rs."
"","4 7","Minister  of  National  Intergration,","","","","",""
"","","Offcial  Languages,  Social  Progress","","","","",""
"","","and  Hindu  Religious  Affairs","15701 Advances  to  Public  Officers","23,000,000","9,300,000","75,000,000","—"
"","48","Minister  of  Public  Enterprise,","","","","",""
"5","","Kandyan  Heritage  and  Kandy","","","","",""
"","","Development","15801 Advances  to  Public  Officers","4,200,000","2,000,000","14,000,000","—"
"","4 9","Minister  of  Tourism  Development,","","","","",""
"","","Wild  life  and  Christian  Religious","","","","",""
"","","Affairs","15901 Advances  to  Public  Officers","12,350,000","4,400,000","41,000,000","—"
"10","5 0","Minister  of  Mahaweli","","","","",""
"","","Development  and  Environment","16001 Advances  to  Public  Officers","20,000,000","10,000,000","58,000,000—",""
"","51","Minister  of  Megapolis  &","","","","",""
"","","Western  Development","16201 Advances  to  Public  Officers","10,000,000","4,000,000","32,000,000","—"
"","5 2","Minister  of  City  Planning,  Water","","","","",""
"15","","Supply  and  Higher  Education","16601 Advances  to  Public  Officers","16,300,000","7,775,000","53,000,000","—"
"","5 3","Minister  of  Ports  &  Shipping","","","","",""
"","","and  Southern  Development","17601 Advances  to  Public  Officers","7,000,000","4,000,000","22,000,000","—"
