"","5 4","Minister  of  Labour,  Trade  Union","","","","",""
"","","Relations  and  Social","","","","",""
"","","Empowerment","19301 Advances  to  Public  Officers","43,700,000","16,700,000 114,000,000","","—"
"","5 5","Minister  of  Telecommunications,","","","","",""
"5","","Foreign  Employment  and  Sports","19401 Advances  to  Public  Officers","44,000,000","18,260,000 136,000,000","","—"
"","5 6","Minister  of  Development","","","","",""
"","","Strategies,  International  Trade","19501 Advances  to  Public  Officers","14,000,000","3,400,000","50,000,000","—"
"","5 7","Department  of  Buddhist  Affairs","20101 Advances  to  Public  Officers","33,000,000","21,000,000","84,000,000","—"
"","5 8","Department  of  Muslim  Religious","","","","",""
"10","","and  Cultural  Affairs","20201 Advances  to  Public  Officers","4,500,000","1,500,000","14,000,000","—"
"","5 9","Department  of  Christian","","","","",""
"","","Religious  Affairs","20301 Advances  to  Public  Officers","3,000,000","800,000","12,000,000","—"
"","60","Department  of  Hindu  Religious","","","","",""
"","","and  Cultural  Affairs","20401 Advances  to  Public  Officers","9,000,000","3,500,000","25,000,000","—"
"15","6 1","Department  of  Public  Trustee","20501 Advances  to  Public  Officers","4,500,000","2,000,000","14,000,000","—"
"","6 2","Department  of  Cultural  Affairs","20601 Advances  to  Public  Officers","37,000,000","15,000,000 100,000,000","","—"
"","6 3","Department  of  Archaeology","20701 Advances  to  Public  Officers","54,000,000","33,000,000 155,000,000","","—"
"","6 4","","Deparatment  of  National  Museums 20801 Advances  to  Public  Officers","19,000,000","9,500,000","72,000,000","—"
"","6 5","Department  of  National  Archives","20901 Advances  to  Public  Officers","8,000,000","3,400,000","30,000,000","—"
"20","6 6","Department  of  Information","21001 Advances  to  Public  Officers","14,000,000","7,500,000","50,000,000","—"
"","6 7","Department  of  Government","","","","",""
"","","Printer","21101 Advances  to  Public  Officers","85,000,000","60,000,000 350,000,000","","—"
