"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","","","",""
"","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"1959","","165022","136268","2002","","164544","136325"
"1960","","164996","136285","","","",""
"","","","","2003","","164531","136325"
"1961","","164978","136287","","","",""
"","","","","2004","","164488","136337"
"1962","","164945","136262","","","",""
"","","","","2005","","164440","136357"
"1963","","164922","136242","","","",""
"","","","","2006","","164430","136376"
"1964","","164928","136215","","","",""
"","","","","2007","","164419","136372"
"1965","","164929","136187","","","",""
"","","","","2008","","164397","136378"
"1966","","164926","136165","","","",""
"","","","","2009","","164383","136388"
"1967","","164899","136144","","","",""
"","","","","2010","","164351","136404"
"1968","","164871","136154","","","",""
"","","","","2011","","164311","136424"
"1969","","164835","136165","","","",""
"","","","","2012","","164291","136425"
"1970","","164834","136171","","","",""
"","","","","2013","","164271","136431"
"1971","","164818","136170","","","",""
"","","","","2014","","164260","136407"
"1972","","164808","136172","","","",""
"","","","","2015","","164261","136380"
"1973","","164779","136172","","","",""
"","","","","2016","","164295","136357"
"1974","","164756","136198","","","",""
"","","","","2017","","164330","136324"
"1975","","164737","136202","","","",""
"","","","","2018","","164355","136303"
"1976","","164729","136214","","","",""
"","","","","2019","","164376","136284"
"1977","","164724","136226","2020","","164395","136267"
"1978","","164711","136258","2021","","164428","136255"
"1979","","164707","136255","2022","","164450","136251"
"1980","","164673","136260","2023","","164476","136251"
"1981","","164629","136295","2024","","164498","136237"
"1982","","164659","136317","2025","","164527","136220"
"1983","","164684","136295","2026","","164557","136199"
"1984","","164706","136296","2027","","164575","136188"
"1985","","164707","136312","2028","","164576","136162"
"1986","","164694","136342","","","",""
"","","","","2029","","164560","136147"
"1987","","164682","136370","","","",""
"","","","","2030","","164574","136121"
"1988","","164694","136396","2031","","164592","136113"
"1989","","164703","136400","2032","","164612","136112"
"","","","","2033","","164629","136111"
"1990","","164707","136426","","","",""
"","","","","2034","","164662","136107"
"1991","","164711","136449","","","",""
"","","","","2035","","164687","136088"
"1992","","164678","136478","","","",""
"","","","","2036","","164697","136079"
"1993","","164668","136502","","","",""
"1994","","164656","136494","2037","","164728","136075"
"1995","","164652","136478","2038","","164713","136055"
"1996","","164639","136442","2039","","164736","136034"
"1997","","164626","136416","2040","","164764","136020"
"1998","","164624","136392","2041","","164762","135988"
"1999","","164612","136374","2042","","164755","135983"
"2000","","164613","136341","2043","","164742","135987"
"2001","","164570","136316","2044","","164720","135991"
