"","I ෙක(cid:675)ටස:(I) ෙ(cid:326)දය - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.11.20","","","",""
"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","",""
"ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"3507","178028","136131","3550","177470","136584"
"3508","178027","136141","3551","177464","136624"
"3509","178017","136146","3552","177438","136675"
"3510","178000","136159","3553","177407","136686"
"3511","177990","136196","3554","177394","136713"
"3512","177984","136230","3555","177376","136717"
"","","","3556","177345","136687"
"3513","177986","136246","","",""
"3514","177969","136257","3557","177325","136704"
"3515","177957","136272","3558","177301","136702"
"3516","177942","136287","3559","177290","136713"
"3517","177935","136292","3560","177265","136722"
"3518","177923","136312","3561","177249","136730"
"3519","177909","136322","3562","177230","136727"
"3520","177909","136307","3563","177207","136734"
"3521","177900","136297","3564","177188","136737"
"3522","177889","136292","3565","177143","136747"
"3523","177878","136263","3566","177123","136743"
"3524","177872","136235","3567","177100","136746"
"3525","177866","136218","3568","177066","136732"
"3526","177843","136185","3569","177070","136705"
"3527","177830","136199","","",""
"","","","3570","177041","136685"
"3528","177840","136223","","",""
"","","","3571","177014","136673"
"3529","177843","136236","","",""
"","","","3572","176972","136675"
"3530","177839","136253","","",""
"","","","3573","176944","136693"
"3531","177842","136312","","",""
"","","","3574","176927","136678"
"3532","177819","136308","","",""
"","","","3575","176893","136675"
"3533","177805","136284","","",""
"","","","3576","176864","136671"
"3534","177777","136256","","",""
"","","","3577","176825","136637"
"3535","177767","136238","","",""
"","","","3578","176801","136622"
"3536","177730","136243","","",""
"","","","3579","176785","136621"
"3537","177714","136228","3580","176740","136620"
"3538","177690","136228","3581","176711","136614"
"3539","177651","136273","3582","176716","136594"
"3540","177618","136332","3583","176688","136579"
"3541","177638","136373","3584","176663","136573"
"3542","177641","136456","3585","176666","136617"
"3543","177611","136506","3586","176638","136597"
"3544","177567","136517","3587","176600","136613"
"3545","177514","136520","3588","176570","136610"
"3546","177520","136530","3589","176557","136599"
"3547","177510","136552","3590","176540","136580"
"3548","177464","136550","3591","176517","136527"
"3549","177437","136553","3592","176489","136496"
