"ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"14998","148008","148257"
"14999","147999","148197"
"15000","147970","148105"
"15001","148043","148068"
"15002","148138","148079"
"15003","148208","148113"
"15004","148340","148151"
"15005","148430","148174"
"15006","148502","148165"
"15007","148634","148079"
"15008","148740","148022"
"15009","148816","148071"
"15010","148772","148122"
"15011","148640","148219"
"15012","148710","148309"
"15013","148719","148389"
"15014","148645","148405"
"15015","148565","148484"
"15016","148538","148551"
"15017","148489","148521"
"15018","148446","148455"
"15019","148419","148422"
"15020","148313","148371"
"15021","148268","148359"
"15022","148261","148419"
"15023","148299","148524"
"15024","148408","148621"
"15025","148505","148716"
"15026","148605","148730"
"15027","148736","148737"
"15028","148855","148832"
"15029","148958","149007"
"15030","149205","149070"
