"","ப(cid:8065)தி I: ெதா(cid:8065)தி (I) - இல(cid:8113)ைக(cid:8114) சனநாயக ேசாச(cid:8098)ச(cid:8112) (cid:8065)(cid:8074)யர(cid:8070) வ(cid:8125)(cid:8119)தமான(cid:8122) ப(cid:8119)திாிைக - அதி விேசஷமான(cid:8080)  - 2019.11.20","","","",""
"ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)","ஒ(cid:8094)(cid:8113)கிைண(cid:8122)(cid:8087)","கிழ(cid:8112)(cid:8065)","வட(cid:8112)(cid:8065)"
"இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி","இல.","ஒ(cid:8094)(cid:8113)கி","ஒ(cid:8094)(cid:8113)கி"
"","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)","","ைண(cid:8122)(cid:8087)க(cid:8128)","ைண(cid:8122)(cid:8087)க(cid:8128)"
"10630","162415","127796","10672","162236","127755"
"10631","162416","127815","10673","162219","127752"
"10632","162415","127820","10674","162197","127753"
"10633","162413","127832","10675","162177","127768"
"10634","162412","127838","10676","162161","127786"
"10635","162403","127852","10677","162140","127803"
"10636","162396","127863","10678","162119","127812"
"10637","162390","127872","10679","162096","127812"
"10638","162387","127875","10680","162085","127830"
"10639","162367","127885","10681","162058","127817"
"10640","162358","127893","10682","162044","127805"
"10641","162354","127897","10683","162038","127815"
"10642","162352","127899","10684","162043","127836"
"10643","162349","127901","10685","162052","127851"
"10644","162348","127901","10686","162043","127873"
"10645","162347","127897","10687","162020","127868"
"10646","162346","127892","10688","162014","127877"
"10647","162344","127887","10689","162019","127884"
"10648","162343","127883","10690","162028","127898"
"10649","162342","127879","10691","162036","127913"
"10650","162341","127876","10692","162047","127925"
"10651","162340","127874","10693","162053","127930"
"10652","162336","127873","10694","162065","127940"
"10653","162333","127873","10695","162059","127948"
"10654","162330","127872","10696","162055","127955"
"10655","162329","127872","10697","162056","127972"
"10656","162325","127871","10698","162046","127976"
"10657","162322","127870","10699","162028","127986"
"10658","162321","127869","10700","162020","127980"
"10659","162319","127869","10701","162012","127974"
"10660","162317","127868","10702","161999","127955"
"10661","162315","127867","10703","161980","127945"
"10662","162313","127867","","",""
"","","","10704","161968","127923"
"10663","162311","127866","10705","161953","127929"
"10664","162309","127865","","",""
"","","","10706","161932","127943"
"10665","162308","127865","","",""
"","","","10707","161925","127963"
"10666","162307","127865","","",""
"","","","10708","161918","127976"
"10667","162287","127837","","",""
"","","","10709","161894","128022"
"10668","162270","127810","","",""
"","","","10710","161909","128042"
"10669","162263","127797","","",""
"","","","10711","161855","128082"
"10670","162254","127780","","",""
"","","","10712","161833","128094"
"10671","162242","127764","","",""
"","","","10713","161788","128098"
