"","Head
236","Department  of  Official  Languages","","",""
"","","Programme  01
Operational  Activities","144,140,000","15,000,000",""
"","","Ministry  of  Public  Enterprise  &  Kandy  City  Development","","",""
"","","Recurrent
575,400,000","","",""
"5","","Capital
386,900,000","","",""
"","Made  up  as  follows:-","","","",""
"","Head  158","Minister  of  Public  Enterprise  &  Kandy  City  Development","","",""
"","","Programme  01
Operational  Activities","255,400,000","206,900,000",""
"","","Programme  02
Development  Activities","320,000,000","180,000,000",""
"10","","Ministry  of  Tourism  Development  and  Christian  Religious  Affairs","","","Appropriation"
"","","Recurrent
339,665,000","","",""
"","","Capital
545,535,000","","",""
"","Made  up  as  follows:-","","","",""
"","Head
159","Minister  of  Tourism  Development  and  Christian  Religious  Affairs","","",""
"15","","Programme  01
Operational  Activities","155,705,000","10,650,000",""
"","","Programme  02
Development  Activities","—","483,000,000",""
"","Head
203","Department  of  Christian  Religious  Affairs","","",""
"","","Programme  02
Development  Activities","183,960,000","51,885,000","31"
