"","4 4","Minister  of  Hill  Country  New","","","","",""
"","","Villages,  Infrastructure  and","","","","",""
"","","Community    Development","14001 Advances  to  Public  Officers","16,000,000","7,000,000","45,000,000","—"
"","4 5","Minister  of  Resettlement,","","","","",""
"","","Rehabilitation,  Northern","","","","",""
"5","","","","","","",""
"","","Development  and","","","","",""
"","","Hindu  Religious  Affairs","14501 Advances  to  Public  Officers","9,000,000","4,000,000","37,000,000","—"
"","46","Minister  of  Youth  Affairs,","","","","",""
"","","Project  Management  and","","","","",""
"10","","Southern  Development","14801 Advances  to  Public  Officers","32,000,000","10,000,000","50,000,000","—"
"","4 7","Minister  of  Industry  and","","","","",""
"","","Commerce","14901 Advances  to  Public  Officers","45,000,000","15,000,000 150,000,000","","—"
"","4 8","Minister  of  Petroleum  Resources","","","","",""
"","","Development","15001 Advances  to  Public  Officers","5,000,000","2,000,000","20,000,000—",""
"","49","Minister  of  Fisheries  and  Aquatic","","","","",""
"15","","","","","","",""
"","","Resources  Development  and","","","","",""
"","","Rural  Economic  Affairs","15101 Advances  to  Public  Officers","36,000,000","17,000,000   110,000,000","","—"
"","5 0","Minister  of  Provincial  Councils","","","","",""
"","","Local  Government  and  Sports","15501 Advances  to  Public  Officers","31,000,000","11,000,000","85,000,000","—"
"20","5 1","Minister  of  National  Intergration,","","","","",""
"","","Reconciliation  and","","","","",""
"","","Offcial  Languages","15701 Advances  to  Public  Officers","20,000,000","8,500,000","65,000,000","—"
