",y.","","FwpaPL","","FwpaPL","","t
jk;",""
"","","","","","(",",yq;if &ghtpy;)",""
"39.","rt{jp mNugpah","SA","rt{jp mNugpah wpahy;","SAR","","","81.6648"
"40.","r
Pnry;];","SC","rPnry;]; &gha;","SCR","","","20.7992"
"41.","rpq;fg;G{u;","SG","rpq;fg;G{u; nlhyu;","SGD","","","237.4719"
"42.","njd; Mgpupf;fh","ZA","njd; Mgpupf;fh nud;l;","ZAR","","","17.7012"
"43.","RtPld;","SE","RtPb\; FNuhzu;","SEK","","","32.5661"
"44.","Rtpw;ru;yhe;J","CH","Rtp]; gpuhq;","CHF","","","383.8901"
"45.","jha;thd;","TW","jha;thd; nlhyu;","TWD","","","10.0574"
"46.","jha;yhe;J","TH","jha;yhe;J ghj;","THB","","","9.4440"
"47.","If;fpa muG ,uhr;rpak;","AE","If;fpa muG ,uhr;rpak;","","","",""
"","","","jpu;fhk;","AED","","","83.3926"
"48.","If;fpa ,uhr;rpak;","G B","];Nuypq; gTz;","GBP","","","411.5470"
"49.","If;fpa mnkupf;fh ehLfs;","US","mnkupf;fd; nlhyu;","USD","","","306.2675"
"50.","rk;gpah (gioa)","ZM","rk;gpah f;tr;rh (gioa)","ZMK","","","0.0590"
"51.","rk;gpah (Gjpa)","ZM","rk;gpah f;tr;rh (Gjpa)","ZMW","","","12.9091"
"52.","rpk;ghNg","ZW","rpk;ghNg nlhyh;","ZWD","","","0.8070"
