"","","I","II","III","IV","V"
"SRL 
Ministries / Departments","Item","Activities of the","","","",""
"No.","No.","Government","Maximum","Minimum","Maximum","Maximum"
"","","","Limits of","Limits of","Limits of","Limits of"
"","","","Expenditure","","Receipts to be  Debit Balance","Liabilities"
"","","","of Activities","credited to the","of Activities","of Activities"
"","","","of the","Accounts of","of the","of the"
"","","","Government","Activities of the  Government","","Government"
"","","","","Government","",""
"","","","Rs.","Rs.","Rs.","Rs."
"139
Department of Export","28901","Advances to Public","","","",""
