"Head  337","","Department  of  Cinnamon  Industry  Development","",""
"","","Programme  02
Development  Activities","125,000,000","15,000,000"
"","","Ministry  of  Power  and  Energy","",""
"","","Recurrent
910,000,000","",""
"","","Capital
42,073,000,000","",""
"","Made  up  as  follows  :-","","",""
"Head","119","Minister  of    Power  and  Energy","",""
"","","Programme  01
Operational  Activities","625,000,000","19,000,000"
"","","Programme  02
Development  Activities","285,000,000","42,054,000,000"
"","","Ministry  of  Tourism  and  Lands","",""
"","","Recurrent
  7,655,730,000","",""
"","","Capital
12,869,000,000","",""
"Made  up  as  follows  :-","","","",""
"Head","122","Minister  of  Tourism  and  Lands","",""
"","","Programme  01
Operational  Activities","692,400,000","27,000,000"
"","","Programme  02
Development  Activities","-","11,857,000,000"
"Head","286","Department  of  Land  Commissioner  General","",""
"","","Programme  02  -  Development  Activities","634,200,000","70,000,000"
"Head","287","Department  of  Land  Title  Settlement","",""
"","","Programme  02  -  Development  Activities","679,880,000","59,000,000"
"Head","288","Department  of  Surveyor  General  of  Sri  Lanka","",""
"","","Programme  01
Operational  Activities","358,550,000","204,200,000"
"","","Programme  02
Development  Activities","4,070,725,000","425,100,000"
