"","","","Government","Activities  of the","Government","Government"
"","","","","Government","",""
"","","","Rs.","Rs.","Rs.","Rs."
"171","Department  of  Community  Based","","","","",""
"","Corrections","32601 Advances  to  Public  Officers     50,000,000","","10,000,000","86,000,000","—"
"172","Department  of  Land  Use  Policy","","","","",""
"","Planning","32701 Advances  to  Public  Officers","20,000,000","15,000,000","75,000,000","—"
"173","Department  of  Manpower  and","","","","",""
"","Employment","32801 Advances  to  Public  Officers     30,000,000","","13,000,000 100,000,000","","—"
"174","Department  of  Information","","","","",""
"","Technology  Management","32901 Advances  to  Public  Officers","3,400,000","1,800,000","12,000,000","—"
"175","Department  of  Samurdhi","","","","",""
"","Development","33101 Advances  to  Public  Officers","250,000,000","180,000,000","400,000,000","—"
"176","Department  of  National  Community","","","","",""
"","Water  Supply","33201 Advances  to  Public  Officers","20,000,000","6,500,000 150,000,000","","—"
"177","","Office  of  the  Comptroller  General 33301 Advances  to  Public  Officers","1,500,000","1,200,000","6,300,000","—"
"178","National  Education  Commission","33501 Advances  to  Public  Officers","1,500,000","700,000","1,500,000","—"
"179","Merchant  Shipping  Secretariat","33601 Advances  to  Public  Officers","5,000,000","1,500,000","6,000,000","—"
"180","Department  of  Cinnamon","33701 Advances  to  Public  Officers","2,000,000","100,000","5,000,000","—"
"","Industry  Development","","","","",""
