"","of the
Accounts  of
of  the","of the"
"","Government
Activities  of the
Government","Government"
"","Government",""
"","Rs.
Rs.
Rs.","Rs."
"118","District  Secretariat/  Kachcheri-",""
"","Mannar
26501 Advances  to  Public  Officers     26,000,000        16,000,000      80,000,000","—"
"119","District  Secretariat/  Kachcheri-",""
"","Vavuniya
26601 Advances  to  Public  Officers
  26,000,000        18,000,000  100,000,000","—"
"120","District  Secretariat/  Kachcheri-",""
"","Mullaitivu
26701 Advances  to  Public  Officers      44,000,000
12,000,000
70,000,000","—"
"121","District  Secretariat/  Kachcheri-",""
"","Killinochchi
26801 Advances  to  Public  Officers     44,000,000
15,500,000
92,000,000","—"
"122","District  Secretariat/  Kachcheri-",""
"","Batticaloa
26901 Advances  to  Public  Officers      70,000,000
54,000,000   230,000,000","—"
"123","District  Secretariat  -  Ampara
27001 Advances  to  Public  Officers    110,000,000
73,000,000   310,000,000","—"
"124","District  Secretariat/  Kachcheri-",""
"","Trincomalee
27101 Advances  to  Public  Officers     65,000,000
35,000,000   205,000,000","—"
"125","District  Secretariat,  Kurunagala
27201 Advances  to  Public  Officers    180,000,000 152,000,000 525,000,000","—"
"126","District  Secretariat,  Puttalam
27301 Advances  to  Public  Officers     70,000,000
67,000,000 270,000,000","—"
"127","District  Secretariat,  Anuradhapura 27401 Advances  to  Public  Officers    110,000,000
81,000,000 260,000,000","—"
"128","District  Secretariat,  Polonnaruwa
27501 Advances  to  Public  Officers     40,000,000
33,000,000   160,000,000","—"
"129","District  Secretariat,  Badulla
27601 Advances  to  Public  Officers     95,000,000
71,000,000   360,000,000","—"
"130","District  Secretariat,  Monaragala
27701 Advances  to  Public  Officers     65,000,000
43,000,000   240,000,000","—"
