"Head","","","","Recurrent","Capital"
"No.","","","","Expenditure","Expenditure"
"","","","","Rs.","Rs."
"Head","307","Department  of  Motor  Traffic","","",""
"","","Programme  02","Development  Activities","3,072,000,000","1,371,000,000"
"","","Ministry  of  Agriculture  and  Plantation  Industries","","",""
"","","Recurrent","66,039,250,000","",""
"","","Capital","46,522,030,000","",""
"Made  up  as  follows  :-","","","","",""
"Head","118","Minister  of    Agriculture  and  Plantation  Industries","","",""
"","","Programme  01","Operational  Activities","3,504,400,000","478,000,000"
"","","Programme  02","Development  Activities","44,885,400,000","37,234,670,000"
"Head","281","Department  of  Agrarian  Development","","",""
"","","Programme  01","Operational  Activities","662,550,000","73,860,000"
"","","Programme  02","Development  Activities","8,917,790,000","3,781,500,000"
"Head  285","","Department  of  Agriculture","","",""
"","","Programme  01","Operational  Activities","625,800,000","49,000,000"
"","","Programme  02","Development  Activities","5,132,160,000","3,186,000,000"
"Head  289","","Department  of  Export  Agriculture","","",""
"","","Programme  02","Development  Activities","933,000,000","517,000,000"
"Head","292","Department  of  Animal  Production  and  Health","","",""
"","","Programme  01","Operational  Activities","841,150,000","73,000,000"
"","","Programme  02","Development  Activities","-","586,000,000"
"Head  293","","Department  of  Rubber  Development","","",""
"","","Programme  02","Development  Activities","412,000,000","528,000,000"
