"Head","294","Department  of  National  Zoological  Gardens","","",""
"","","Programme  02","","Development  Activities                                                            646,000,000                130,000,000",""
"","","","Ministry  of  Water  Supply  and  Estate  Infrastructure  Development","",""
"","","Recurrent","1,426,000,000","",""
"","","Capital","71,424,000,000","",""
"Made  up  as  follows  :-","","","","",""
"Head","166","","Minister  of  Water  Supply  and  Estate  Infrastructure  Development","",""
"","","Programme  01","Operational  Activities","1,022,000,000","64,000,000"
"","","Programme  02","Development  Activities","-","69,593,000,000"
"Head","332","Department  of  National  Community  Water  Supply","","",""
"","","Programme  01","Operational  Activities","404,000,000","1,767,000,000"
"","","","Ministry  of  Women,  Child  Affairs  and  Social  Empowerment","",""
"","","Recurrent","72,801,000,000","",""
"","","Capital","1,733,000,000","",""
"Made  up  as  follows  :-","","","","",""
"Head","171","","Minister  of  Women,  Child  Affairs  and  Social  Empowerment","",""
"","","Programme  01","Operational  Activities","1,368,000,000","104,000,000"
"","","Programme  02","Development  Activities","13,976,000,000","1,384,000,000"
"Head   216","","Department  of  Social  Services","","",""
"","","Programme  01","Operational  Activities","103,000,000","4,000,000"
"","","Programme  02","Development  Activities","1,176,000,000","110,000,000"
