"100 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"5. (7)","The premises shall be erected with accessibility facilities for the disabled and special needs."
"6.","Every  person 
licensed  under 
this  By-law  shall  maintain 
the  premises 
in  accordance  with 
the  following"
"","conditions."
"6. (1)","Pumps, suction pits or central treatment units shall be directed to an approved system of sealed drainage or other"
"","suitable construction material so that the wastewater does not rely on the slope with the required slope. Also, a"
"","water trap or an approved suitable method should be used to prevent combustion between the premises and the"
"","final disposal."
"6. (2)","Toilets and toilets shall be constructed and maintained in good condition so that its internal floor is not slippery."
"6 (3)","The  drains  must  be  adequately  constructed  to  avoid  contamination  and  return,  and  should  be  constructed  to"
"","prevent combustion and the drainage of the wastewater must be cleaned and disinfected at least twice a day with"
"","disinfectant."
"6. (4)","Sufficient measures must be taken to prevent wastewater and sewage from flowing into any public waterway,"
"","sewer, or open land."
"6. (5)","The  sewage  pit,  where  sewage  and  sewage  flow,  shall  not  be  exposed  to  air  and  shall  not  contaminate"
"","groundwater from the suction pit."
"6. (6)","The sewage pit where sewage and sewage is flowing must be constructed to the standard."
"6. (7)","The suction pit shall be erected at least 15.25 m from any source of water."
"6. (8)","The  nature  of 
food  operations  undertaken  when  necessary 
for  cooking,  heating,  cooling, 
refrigerating,"
"","refrigerating, storing or freezing foods, and controlling the temperature of the food. Suitably, adequate facilities"
"","should be provided to ensure the safety and suitability of the food and to regulate the temperature."
"6. (9)","All  equipment  and  equipment  used  in  the  premises  of  the  hotel  premises  shall  comply  with  the  following"
"","requirements."
