"","Head","","","","Recurrent
Capital"
"","No.","","","","Expenditure
Expenditure"
"","","","","","Rs.
Rs."
"","","","Ministry  of  Irrigation","",""
"","","","Recurrent","8,574,000,000",""
"","","","Capital","75,426,000,000",""
"","","Made  up  as  follows  :-","","",""
"5","Head","198","Minister  of  Irrigation","",""
"","","","Programme  01","Operational  Activities","557,000,000                     251,000,000"
"","","","Programme  02","Development  Activities","3,700,000,000
      54,262,000,000"
"","Head","282","Department  of  Irrigation","",""
"","","","Programme  01","Operational  Activities","1,006,000,000
          73,000,000"
"10","","","Programme  02","Development  Activities","3,311,000,000
20,840,000,000"
"","","","Total","","2,651,422,273,000  1,209,424,515,000"
