"","Head
Unit/Ministry/Department","Provision  of  the  Constitution","Expenditure","Recurrent","Capital","Total"
"","No.
or  Institution  by  whom","and  Law  under  which","Programme","Expenditure","Expenditure","Expenditure"
"","expenditure  is  incurred","expenditure  is  authorized","","Rs.","Rs.","Rs."
"","1 0
Commission  to  Investigate","Anti-Corruption","Programme  01-","4,740,000","—","4,740,000"
"","Allegations  of  Bribery  or","Act,  No.  9  of  2023","Operational","","",""
"","Corruption","","Activities","","",""
"","1 6
Parliament","Article  65  of  the  Constitution","Programme  01-","1,500,000","—","1,500,000"
"5","","","Operational","","",""
"","","","Activities","","",""
"","2 0
Election  Commission","Article  103  of  the  Constitution","Programme  01-","5,940,000","—","5,940,000"
"","","","Operational","","",""
"","","","Activities","","",""
"10","2 1
National  Audit","Article  153  of  the  Constitution","Programme  01-","1,700,000","—","1,700,000"
"","Office","","Operational","","",""
"","","","Activities","","",""
"","2 2
Office  of  the  Parliamentary","Article  156  of  the  Constitution","Programme  01-","1,620,000","—","1,620,000"
"","Commissioner  for","","Operational","","",""
"15","Administration","","Activities","","",""
