"","SCHEDULE
[Section  2]"
"1.","Betting  and  Gaming  Levy  Act,  No.  40  of  1988"
"2.","Capital  Levy  Act,  No.  51  of  1971"
"3.","Debits  Tax  Act,  No.  16  of  2002"
"4.","Economic  Service  Charge  Act,  No.  13  of  2006"
"5.","Estate  Duty  Act,  No.  13  of  1980"
"6.","Finance  Act,  No.  11  of  1963"
"7.","Finance  (Amendment)  Act,  No.  8  of  2004"
"8.","Finance  Act,  No.  11  of  2004  -  Part  I"
"9.","Finance  Act,  No.  5  of  2005  -  Part  I"
"10.","Goods  and  Services  Tax  Act,  No.  34  of  1996"
"11.","Inland  Revenue  Act,  No.  4  of  1963"
